	node1	node2	provenance
0	ERCC1	XPA	ppi
1	ERCC1	ERCC4	ppi
2	ERCC1	SLX4	ppi
3	ERCC1	RPA1	ppi
4	ERCC1	RPA2	ppi
5	ERCC1	RPA3	ppi
6	PRKDC	XRCC5	ppi
7	PRKDC	XRCC6	ppi
8	PRKDC	RNF8	ppi
9	APEX1	POLB	ppi
10	APEX1	XRCC1	ppi
11	CHRAC1	POLE3	ppi
12	RMI2	RMI1	ppi
13	RPA3	RPA4	ppi
14	RPA3	RPA2	ppi
15	RPA3	RPA1	ppi
16	RPA3	RAD51	ppi
17	POLB	PNKP	ppi
18	POLB	XRCC1	ppi
19	POLB	NEIL1	ppi
20	POLB	WRN	ppi
21	RPA1	RPA2	ppi
22	RPA1	BLM	ppi
23	RPA1	XPA	ppi
24	RPA1	TP53	ppi
25	RPA1	WRN	ppi
26	RPA1	RPA4	ppi
27	RPA1	BRIP1	ppi
28	RPA1	RAD51	ppi
29	RPA1	RAD52	ppi
30	RPA1	ATRIP	ppi
31	RPA1	RAD9A	ppi
32	RPA1	PAXIP1	ppi
33	RPA1	MRE11	ppi
34	RPA1	ERCC4	ppi
35	POLD4	PCNA	ppi
36	POLD4	POLD1	ppi
37	POLD4	POLD2	ppi
38	RAD51AP1	RAD51	ppi
39	MRE11	XRCC6	ppi
40	MRE11	NBN	ppi
41	MRE11	LIG1	ppi
42	MRE11	CDK2	ppi
43	EXO1	MLH1	ppi
44	EXO1	MSH2	ppi
45	EXO1	PCNA	ppi
46	PMS2	MLH1	ppi
47	PMS2	PCNA	ppi
48	PMS2	AKT1	ppi
49	PMS2	XPA	ppi
50	PNKP	XRCC4	ppi
51	PNKP	LIG3	ppi
52	PNKP	XRCC1	ppi
53	PNKP	KDM1A	ppi
54	XRCC6	XRCC5	ppi
55	XRCC6	MSH6	ppi
56	XRCC6	APLF	ppi
57	XRCC6	PCNA	ppi
58	XRCC6	XRCC4	ppi
59	PALB2	BRCA2	ppi
60	USP12	WDR20	ppi
61	USP12	WDR48	ppi
62	FEN1	BLM	ppi
63	FEN1	WRN	ppi
64	FEN1	PCNA	ppi
65	FEN1	TDP1	ppi
66	MSH3	MLH1	ppi
67	MSH3	PCNA	ppi
68	MSH3	RAD9A	ppi
69	MSH3	HUS1	ppi
70	MSH3	RAD1	ppi
71	MSH3	MSH2	ppi
72	PAXIP1	H2AX	ppi
73	PAXIP1	WDR48	ppi
74	HUS1	RAD9A	ppi
75	HUS1	MSH6	ppi
76	HUS1	PCNA	ppi
77	HUS1	RAD1	ppi
78	HUS1	MSH2	ppi
79	HUS1	NEIL1	ppi
80	USP46	WDR20	ppi
81	USP46	WDR48	ppi
82	RAD50	BRCA1	ppi
83	MLH1	BLM	ppi
84	MLH1	BRIP1	ppi
85	MLH1	MSH2	ppi
86	MLH1	XPA	ppi
87	MLH1	PCNA	ppi
88	BLM	TP53	ppi
89	BLM	RAD51D	ppi
90	BLM	WRN	ppi
91	BLM	BRIP1	ppi
92	BLM	TOP3A	ppi
93	BLM	RAD51	ppi
94	NEIL1	LIG3	ppi
95	NEIL1	H3C15	ppi
96	LIG4	XRCC4	ppi
97	LIG4	TP53BP1	ppi
98	LIG4	WDR20	ppi
99	BRIP1	BRCA1	ppi
100	H3C15	KDM1A	ppi
101	BRCA2	RAD51	ppi
102	BRCA2	BRCA1	ppi
103	BRCA2	FANCD2	ppi
104	BRCA2	TP53	ppi
105	BRCA2	FANCI	ppi
106	CDK2	TP53	ppi
107	WRN	TP53	ppi
108	WRN	PCNA	ppi
109	WRN	RAD51	ppi
110	WRN	RAD52	ppi
111	APLF	XRCC4	ppi
112	APLF	XRCC5	ppi
113	APLF	XRCC1	ppi
114	TP53BP1	TP53	ppi
115	PRIM1	PRIM2	ppi
116	PRIM1	MDC1	ppi
117	HUS1B	RAD1	ppi
118	OGG1	XRCC1	ppi
119	AR	KAT5	ppi
120	AR	BRCA1	ppi
121	AR	RAD9A	ppi
122	AR	TP53	ppi
123	POLD1	PCNA	ppi
124	POLD1	POLD2	ppi
125	PARP1	POLA2	ppi
126	PARP1	POLA1	ppi
127	PARP1	XRCC1	ppi
128	PARP1	APTX	ppi
129	PARP1	TP53	ppi
130	PARP1	LIG3	ppi
131	RAD51B	RAD51C	ppi
132	RPA4	XPA	ppi
133	RPA4	RPA2	ppi
134	TOP3A	RMI1	ppi
135	RNF8	MDC1	ppi
136	LIG3	XRCC1	ppi
137	LIG3	TDP1	ppi
138	H2AX	MDC1	ppi
139	RAD51C	XRCC3	ppi
140	RAD51C	RAD51D	ppi
141	AKT1	MSH2	ppi
142	AKT1	TP53	ppi
143	XRCC2	RAD51D	ppi
144	XRCC2	RAD51	ppi
145	APTX	XRCC4	ppi
146	APTX	XRCC1	ppi
147	XRCC3	RAD51	ppi
148	RBBP8	BRCA1	ppi
149	RBBP8	PCNA	ppi
150	RBBP8	FANCD2	ppi
151	POLD2	PCNA	ppi
152	POLD2	POLD3	ppi
153	NBN	MDC1	ppi
154	NBN	ATR	ppi
155	NBN	XRCC4	ppi
156	NBN	RAD51	ppi
157	FANCI	FANCD2	ppi
158	ATM	FANCD2	ppi
159	MUS81	SLX4	ppi
160	POLE	POLE2	ppi
161	XRCC4	NHEJ1	ppi
162	POLE2	KAT5	ppi
163	RAD1	MSH6	ppi
164	RAD1	MSH2	ppi
165	RAD1	RAD9A	ppi
166	KAT5	FANCD2	ppi
167	KAT5	BARD1	ppi
168	KAT5	BRCA1	ppi
169	RAD52	RAD51	ppi
170	RAD52	RPA2	ppi
171	PRIM2	RPA2	ppi
172	PRIM2	KDM1A	ppi
173	FANCD2	BRCA1	ppi
174	SLX4	ERCC4	ppi
175	SLX4	MSH2	ppi
176	XPA	RPA2	ppi
177	XPA	PCNA	ppi
178	POLE4	POLE3	ppi
179	BRCA1	MSH6	ppi
180	BRCA1	ATRIP	ppi
181	BRCA1	BARD1	ppi
182	BRCA1	MSH2	ppi
183	BRCA1	KDM1A	ppi
184	BRCA1	RAD51	ppi
185	BARD1	RAD51	ppi
186	MSH6	PCNA	ppi
187	MSH6	MSH2	ppi
188	MSH6	RAD9A	ppi
189	RPA2	RAD51	ppi
190	RPA2	ERCC4	ppi
191	PCNA	POLD3	ppi
192	PCNA	XRCC1	ppi
193	PCNA	MSH2	ppi
194	MSH2	RAD9A	ppi
195	ERCC1	ERCC4	pathways
196	ERCC1	RPA3	pathways
197	ERCC1	RPA1	pathways
198	ERCC1	RPA2	pathways
199	ERCC1	RAD51	pathways
200	ERCC1	RAD52	pathways
201	PRKDC	XRCC5	pathways
202	PRKDC	XRCC6	pathways
203	PRKDC	XRCC4	pathways
204	PRKDC	LIG4	pathways
205	PRKDC	NHEJ1	pathways
206	APEX1	PCNA	pathways
207	APEX1	POLD3	pathways
208	APEX1	POLD4	pathways
209	APEX1	RPA1	pathways
210	APEX1	FEN1	pathways
211	APEX1	POLD2	pathways
212	APEX1	RPA2	pathways
213	APEX1	RPA3	pathways
214	APEX1	POLD1	pathways
215	APEX1	LIG1	pathways
216	APEX1	POLB	pathways
217	APEX1	OGG1	pathways
218	APEX1	PARP1	pathways
219	RMI2	BRCA1	pathways
220	RMI2	NBN	pathways
221	RMI2	BRIP1	pathways
222	RMI2	RBBP8	pathways
223	RMI2	BARD1	pathways
224	RMI2	MRE11	pathways
225	RMI2	KAT5	pathways
226	RMI2	RAD50	pathways
227	RMI2	ATM	pathways
228	RMI2	ATRIP	pathways
229	RMI2	ATR	pathways
230	RMI2	TOP3A	pathways
231	RMI2	BLM	pathways
232	RMI2	RMI1	pathways
233	RMI2	RPA3	pathways
234	RMI2	RPA2	pathways
235	RMI2	RPA1	pathways
236	RMI2	XRCC3	pathways
237	RMI2	RAD51C	pathways
238	RPA3	POLD2	pathways
239	RPA3	PCNA	pathways
240	RPA3	POLD1	pathways
241	RPA3	POLD4	pathways
242	RPA3	POLD3	pathways
243	RPA3	FEN1	pathways
244	RPA3	ATRIP	pathways
245	RPA3	ATR	pathways
246	RPA3	CDK2	pathways
247	RPA3	FANCI	pathways
248	RPA3	FANCD2	pathways
249	RPA3	ERCC4	pathways
250	RPA3	LIG1	pathways
251	RPA3	WDR48	pathways
252	RPA3	USP1	pathways
253	RPA3	POLA1	pathways
254	RPA3	PRIM2	pathways
255	RPA3	PRIM1	pathways
256	RPA3	POLA2	pathways
257	RPA3	RPA2	pathways
258	RPA3	RPA1	pathways
259	RPA3	RPA4	pathways
260	RPA3	BRCA1	pathways
261	RPA3	NBN	pathways
262	RPA3	MRE11	pathways
263	RPA3	EXO1	pathways
264	RPA3	TOP3A	pathways
265	RPA3	RMI1	pathways
266	RPA3	ATM	pathways
267	RPA3	BARD1	pathways
268	RPA3	RAD50	pathways
269	RPA3	WRN	pathways
270	RPA3	KAT5	pathways
271	RPA3	RBBP8	pathways
272	RPA3	BRIP1	pathways
273	RPA3	BLM	pathways
274	RPA3	RAD9A	pathways
275	RPA3	HUS1	pathways
276	RPA3	RAD1	pathways
277	RPA3	RAD9B	pathways
278	RPA3	LIG3	pathways
279	RPA3	XRCC1	pathways
280	RPA3	POLB	pathways
281	POLB	FEN1	pathways
282	POLB	LIG1	pathways
283	POLB	XRCC1	pathways
284	POLB	LIG3	pathways
285	POLB	PNKP	pathways
286	POLB	NEIL1	pathways
287	POLB	PARP1	pathways
288	POLB	PCNA	pathways
289	POLB	POLD2	pathways
290	POLB	POLD3	pathways
291	POLB	RPA1	pathways
292	POLB	POLD4	pathways
293	POLB	RPA2	pathways
294	POLB	POLD1	pathways
295	RPA1	POLD3	pathways
296	RPA1	POLD4	pathways
297	RPA1	PCNA	pathways
298	RPA1	POLD2	pathways
299	RPA1	POLD1	pathways
300	RPA1	FEN1	pathways
301	RPA1	ATRIP	pathways
302	RPA1	ATR	pathways
303	RPA1	CDK2	pathways
304	RPA1	FANCD2	pathways
305	RPA1	FANCI	pathways
306	RPA1	ERCC4	pathways
307	RPA1	LIG1	pathways
308	RPA1	WDR48	pathways
309	RPA1	USP1	pathways
310	RPA1	POLA1	pathways
311	RPA1	PRIM2	pathways
312	RPA1	POLA2	pathways
313	RPA1	PRIM1	pathways
314	RPA1	RPA2	pathways
315	RPA1	RPA4	pathways
316	RPA1	NBN	pathways
317	RPA1	RBBP8	pathways
318	RPA1	RMI1	pathways
319	RPA1	WRN	pathways
320	RPA1	BRCA1	pathways
321	RPA1	ATM	pathways
322	RPA1	BRIP1	pathways
323	RPA1	BARD1	pathways
324	RPA1	TOP3A	pathways
325	RPA1	KAT5	pathways
326	RPA1	RAD50	pathways
327	RPA1	BLM	pathways
328	RPA1	EXO1	pathways
329	RPA1	MRE11	pathways
330	RPA1	HUS1	pathways
331	RPA1	RAD1	pathways
332	RPA1	RAD9A	pathways
333	RPA1	RAD9B	pathways
334	RPA1	LIG3	pathways
335	RPA1	XRCC1	pathways
336	POLD4	RPA2	pathways
337	POLD4	FEN1	pathways
338	POLD4	POLD3	pathways
339	POLD4	POLD1	pathways
340	POLD4	POLD2	pathways
341	POLD4	LIG1	pathways
342	POLD4	PCNA	pathways
343	POLD4	PRIM2	pathways
344	POLD4	POLA2	pathways
345	POLD4	PRIM1	pathways
346	POLD4	POLA1	pathways
347	POLD4	XRCC1	pathways
348	POLD4	LIG3	pathways
349	RAD51AP1	BARD1	pathways
350	RAD51AP1	BRCA2	pathways
351	RAD51AP1	PALB2	pathways
352	RAD51AP1	BRCA1	pathways
353	RAD51AP1	RAD51	pathways
354	RAD51AP1	RBBP8	pathways
355	RAD51AP1	RAD51B	pathways
356	RAD51AP1	XRCC2	pathways
357	RAD51AP1	RAD51D	pathways
358	RAD51AP1	RAD51C	pathways
359	MRE11	ATM	pathways
360	MRE11	KAT5	pathways
361	MRE11	BRIP1	pathways
362	MRE11	BRCA1	pathways
363	MRE11	BARD1	pathways
364	MRE11	WRN	pathways
365	MRE11	RMI1	pathways
366	MRE11	EXO1	pathways
367	MRE11	BLM	pathways
368	MRE11	RBBP8	pathways
369	MRE11	TOP3A	pathways
370	MRE11	ATRIP	pathways
371	MRE11	ATR	pathways
372	MRE11	FEN1	pathways
373	MRE11	PARP1	pathways
374	MRE11	TP53BP1	pathways
375	MRE11	PAXIP1	pathways
376	MRE11	H2AX	pathways
377	MRE11	CDK2	pathways
378	MRE11	MDC1	pathways
379	MRE11	RNF8	pathways
380	MRE11	LIG3	pathways
381	MRE11	XRCC1	pathways
382	MRE11	RAD50	pathways
383	MRE11	NBN	pathways
384	MRE11	RPA2	pathways
385	MRE11	XRCC5	pathways
386	MRE11	XRCC6	pathways
387	EXO1	ATM	pathways
388	EXO1	RBBP8	pathways
389	EXO1	BARD1	pathways
390	EXO1	BRCA1	pathways
391	EXO1	RAD50	pathways
392	EXO1	KAT5	pathways
393	EXO1	BRIP1	pathways
394	EXO1	NBN	pathways
395	EXO1	ATR	pathways
396	EXO1	ATRIP	pathways
397	EXO1	RPA2	pathways
398	EXO1	PCNA	pathways
399	EXO1	PMS2	pathways
400	EXO1	MSH2	pathways
401	EXO1	MSH3	pathways
402	EXO1	MLH1	pathways
403	EXO1	MSH6	pathways
404	PMS2	MLH1	pathways
405	PMS2	PCNA	pathways
406	PMS2	MSH3	pathways
407	PMS2	MSH2	pathways
408	PMS2	MSH6	pathways
409	PNKP	XRCC1	pathways
410	PNKP	NEIL1	pathways
411	PNKP	LIG3	pathways
412	XRCC6	XRCC5	pathways
413	XRCC6	XRCC4	pathways
414	XRCC6	LIG4	pathways
415	XRCC6	H2AX	pathways
416	XRCC6	PAXIP1	pathways
417	XRCC6	MDC1	pathways
418	XRCC6	NBN	pathways
419	XRCC6	KAT5	pathways
420	XRCC6	ATM	pathways
421	XRCC6	TP53BP1	pathways
422	XRCC6	RNF8	pathways
423	XRCC6	RAD50	pathways
424	XRCC6	NHEJ1	pathways
425	PALB2	BRCA1	pathways
426	PALB2	BARD1	pathways
427	PALB2	RBBP8	pathways
428	PALB2	RAD51	pathways
429	PALB2	BRCA2	pathways
430	PALB2	XRCC2	pathways
431	PALB2	RAD51C	pathways
432	PALB2	RAD51D	pathways
433	PALB2	RAD51B	pathways
434	USP12	WDR48	pathways
435	USP12	WDR20	pathways
436	USP12	AR	pathways
437	FEN1	POLD1	pathways
438	FEN1	PCNA	pathways
439	FEN1	POLD2	pathways
440	FEN1	POLD3	pathways
441	FEN1	RPA2	pathways
442	FEN1	RAD50	pathways
443	FEN1	PARP1	pathways
444	FEN1	RBBP8	pathways
445	FEN1	NBN	pathways
446	FEN1	PRIM2	pathways
447	FEN1	POLA1	pathways
448	FEN1	POLA2	pathways
449	FEN1	PRIM1	pathways
450	MSH3	MLH1	pathways
451	MSH3	PCNA	pathways
452	MSH3	MSH2	pathways
453	PAXIP1	KAT5	pathways
454	PAXIP1	ATM	pathways
455	PAXIP1	H2AX	pathways
456	PAXIP1	TP53BP1	pathways
457	PAXIP1	MDC1	pathways
458	PAXIP1	RAD50	pathways
459	PAXIP1	RNF8	pathways
460	PAXIP1	NBN	pathways
461	PAXIP1	XRCC5	pathways
462	HUS1	RAD9B	pathways
463	HUS1	RAD9A	pathways
464	HUS1	RAD1	pathways
465	HUS1	RPA2	pathways
466	RAD50	KAT5	pathways
467	RAD50	ATM	pathways
468	RAD50	RBBP8	pathways
469	RAD50	RMI1	pathways
470	RAD50	WRN	pathways
471	RAD50	BLM	pathways
472	RAD50	BRIP1	pathways
473	RAD50	BRCA1	pathways
474	RAD50	BARD1	pathways
475	RAD50	TOP3A	pathways
476	RAD50	ATRIP	pathways
477	RAD50	ATR	pathways
478	RAD50	PARP1	pathways
479	RAD50	TP53BP1	pathways
480	RAD50	H2AX	pathways
481	RAD50	CDK2	pathways
482	RAD50	MDC1	pathways
483	RAD50	RNF8	pathways
484	RAD50	LIG3	pathways
485	RAD50	XRCC1	pathways
486	RAD50	NBN	pathways
487	RAD50	RPA2	pathways
488	RAD50	XRCC5	pathways
489	MLH1	CDK2	pathways
490	MLH1	ATM	pathways
491	MLH1	PCNA	pathways
492	MLH1	MSH2	pathways
493	MLH1	MSH6	pathways
494	BLM	BRCA1	pathways
495	BLM	NBN	pathways
496	BLM	ATM	pathways
497	BLM	BRIP1	pathways
498	BLM	KAT5	pathways
499	BLM	BARD1	pathways
500	BLM	RBBP8	pathways
501	BLM	ATRIP	pathways
502	BLM	ATR	pathways
503	BLM	TOP3A	pathways
504	BLM	RMI1	pathways
505	BLM	RPA2	pathways
506	BLM	XRCC3	pathways
507	BLM	RAD51C	pathways
508	NEIL1	XRCC1	pathways
509	NEIL1	LIG3	pathways
510	NEIL1	OGG1	pathways
511	LIG4	XRCC4	pathways
512	LIG4	XRCC5	pathways
513	LIG4	NHEJ1	pathways
514	BRIP1	WRN	pathways
515	BRIP1	ATM	pathways
516	BRIP1	RMI1	pathways
517	BRIP1	NBN	pathways
518	BRIP1	BARD1	pathways
519	BRIP1	BRCA1	pathways
520	BRIP1	TOP3A	pathways
521	BRIP1	KAT5	pathways
522	BRIP1	RBBP8	pathways
523	BRIP1	ATR	pathways
524	BRIP1	ATRIP	pathways
525	BRIP1	RPA2	pathways
526	H3C15	KDM1A	pathways
527	H3C15	AR	pathways
528	BRCA2	BARD1	pathways
529	BRCA2	RBBP8	pathways
530	BRCA2	BRCA1	pathways
531	BRCA2	RAD51	pathways
532	CDK2	RPA2	pathways
533	CDK2	RPA4	pathways
534	CDK2	ATM	pathways
535	CDK2	KAT5	pathways
536	CDK2	RBBP8	pathways
537	CDK2	NBN	pathways
538	CDK2	ATR	pathways
539	CDK2	TP53	pathways
540	WRN	ATM	pathways
541	WRN	KAT5	pathways
542	WRN	BRCA1	pathways
543	WRN	RBBP8	pathways
544	WRN	NBN	pathways
545	WRN	BARD1	pathways
546	WRN	ATR	pathways
547	WRN	ATRIP	pathways
548	WRN	RPA2	pathways
549	USP1	RPA2	pathways
550	USP1	PCNA	pathways
551	USP1	WDR48	pathways
552	USP1	FANCD2	pathways
553	USP1	FANCI	pathways
554	TP53BP1	H2AX	pathways
555	TP53BP1	RNF8	pathways
556	TP53BP1	MDC1	pathways
557	TP53BP1	KAT5	pathways
558	TP53BP1	ATM	pathways
559	TP53BP1	NBN	pathways
560	TP53BP1	XRCC5	pathways
561	PRIM1	POLA2	pathways
562	PRIM1	POLA1	pathways
563	PRIM1	POLE4	pathways
564	PRIM1	POLE	pathways
565	PRIM1	POLE3	pathways
566	PRIM1	POLE2	pathways
567	PRIM1	PRIM2	pathways
568	PRIM1	POLD2	pathways
569	PRIM1	POLD1	pathways
570	PRIM1	POLD3	pathways
571	PRIM1	RPA2	pathways
572	PRIM1	PCNA	pathways
573	HLTF	PCNA	pathways
574	AR	WDR20	pathways
575	AR	WDR48	pathways
576	AR	KDM1A	pathways
577	POLD1	RPA2	pathways
578	POLD1	POLD2	pathways
579	POLD1	POLD3	pathways
580	POLD1	LIG1	pathways
581	POLD1	PCNA	pathways
582	POLD1	POLA2	pathways
583	POLD1	POLA1	pathways
584	POLD1	PRIM2	pathways
585	POLD1	LIG3	pathways
586	POLD1	XRCC1	pathways
587	WDR48	PCNA	pathways
588	WDR48	RPA2	pathways
589	WDR48	WDR20	pathways
590	WDR48	FANCI	pathways
591	WDR48	FANCD2	pathways
592	PARP1	RBBP8	pathways
593	PARP1	NBN	pathways
594	PARP1	XPA	pathways
595	RAD51B	XRCC2	pathways
596	RAD51B	RAD51D	pathways
597	RAD51B	RAD51C	pathways
598	RPA4	RPA2	pathways
599	TOP3A	BARD1	pathways
600	TOP3A	BRCA1	pathways
601	TOP3A	RBBP8	pathways
602	TOP3A	KAT5	pathways
603	TOP3A	NBN	pathways
604	TOP3A	ATM	pathways
605	TOP3A	ATR	pathways
606	TOP3A	ATRIP	pathways
607	TOP3A	RMI1	pathways
608	TOP3A	RPA2	pathways
609	TOP3A	XRCC3	pathways
610	TOP3A	RAD51C	pathways
611	RNF8	NBN	pathways
612	RNF8	MDC1	pathways
613	RNF8	KAT5	pathways
614	RNF8	H2AX	pathways
615	RNF8	ATM	pathways
616	RNF8	XRCC5	pathways
617	LIG3	NBN	pathways
618	LIG3	RBBP8	pathways
619	LIG3	XRCC1	pathways
620	LIG3	POLD3	pathways
621	LIG3	POLD2	pathways
622	LIG3	PCNA	pathways
623	LIG3	RPA2	pathways
624	H2AX	KAT5	pathways
625	H2AX	NBN	pathways
626	H2AX	ATM	pathways
627	H2AX	MDC1	pathways
628	H2AX	BRCA1	pathways
629	H2AX	ATR	pathways
630	H2AX	XRCC5	pathways
631	RAD51C	XRCC2	pathways
632	RAD51C	RAD51D	pathways
633	RAD51C	XRCC3	pathways
634	RAD51C	RMI1	pathways
635	RAD51C	MUS81	pathways
636	RAD51C	SLX4	pathways
637	AKT1	PHLPP2	pathways
638	AKT1	PHLPP1	pathways
639	XRCC2	RAD51D	pathways
640	XRCC5	XRCC4	pathways
641	XRCC5	ATM	pathways
642	XRCC5	KAT5	pathways
643	XRCC5	MDC1	pathways
644	XRCC5	NBN	pathways
645	XRCC5	NHEJ1	pathways
646	XRCC3	RMI1	pathways
647	XRCC3	SLX4	pathways
648	XRCC3	MUS81	pathways
649	RBBP8	NBN	pathways
650	RBBP8	KAT5	pathways
651	RBBP8	RMI1	pathways
652	RBBP8	ATM	pathways
653	RBBP8	ATRIP	pathways
654	RBBP8	ATR	pathways
655	RBBP8	BARD1	pathways
656	RBBP8	BRCA1	pathways
657	RBBP8	RAD51	pathways
658	RBBP8	XRCC1	pathways
659	RBBP8	RPA2	pathways
660	POLD2	RPA2	pathways
661	POLD2	POLD3	pathways
662	POLD2	LIG1	pathways
663	POLD2	PCNA	pathways
664	POLD2	POLA1	pathways
665	POLD2	POLA2	pathways
666	POLD2	PRIM2	pathways
667	POLD2	XRCC1	pathways
668	RAD9B	RAD1	pathways
669	RAD9B	RPA2	pathways
670	NBN	KAT5	pathways
671	NBN	ATM	pathways
672	NBN	BRCA1	pathways
673	NBN	BARD1	pathways
674	NBN	RMI1	pathways
675	NBN	ATRIP	pathways
676	NBN	ATR	pathways
677	NBN	MDC1	pathways
678	NBN	XRCC1	pathways
679	NBN	RPA2	pathways
680	FANCI	FANCD2	pathways
681	FANCI	ATR	pathways
682	FANCI	RPA2	pathways
683	FANCI	ATRIP	pathways
684	ATM	KAT5	pathways
685	ATM	RMI1	pathways
686	ATM	BRCA1	pathways
687	ATM	BARD1	pathways
688	ATM	ATRIP	pathways
689	ATM	ATR	pathways
690	ATM	MDC1	pathways
691	ATM	RPA2	pathways
692	ATM	TP53	pathways
693	MUS81	SLX4	pathways
694	POLE	PRIM2	pathways
695	POLE	POLA2	pathways
696	POLE	POLA1	pathways
697	POLE	POLE4	pathways
698	POLE	POLE2	pathways
699	POLE	POLE3	pathways
700	POLA1	PRIM2	pathways
701	POLA1	POLA2	pathways
702	POLA1	POLE4	pathways
703	POLA1	POLE2	pathways
704	POLA1	POLE3	pathways
705	POLA1	POLD3	pathways
706	POLA1	RPA2	pathways
707	POLA1	PCNA	pathways
708	XRCC4	NHEJ1	pathways
709	POLE2	PRIM2	pathways
710	POLE2	POLA2	pathways
711	POLE2	POLE3	pathways
712	POLE2	POLE4	pathways
713	RAD1	RAD9A	pathways
714	RAD1	RPA2	pathways
715	KAT5	BARD1	pathways
716	KAT5	BRCA1	pathways
717	KAT5	RMI1	pathways
718	KAT5	ATRIP	pathways
719	KAT5	ATR	pathways
720	KAT5	MDC1	pathways
721	KAT5	RPA2	pathways
722	RAD52	RAD51	pathways
723	RAD52	ERCC4	pathways
724	PRIM2	POLA2	pathways
725	PRIM2	POLE3	pathways
726	PRIM2	POLE4	pathways
727	PRIM2	POLD3	pathways
728	PRIM2	RPA2	pathways
729	PRIM2	PCNA	pathways
730	FANCD2	ATRIP	pathways
731	FANCD2	ATR	pathways
732	FANCD2	RPA2	pathways
733	POLE4	POLA2	pathways
