Ataxia-telangiectasia	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0006281	DNA repair	3.122683889187932e-108	True	"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]"	573	99	86	15719	0.8686868686868687	0.150087260034904	query_1	['GO:0006259', 'GO:0006974']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
0	REAC	REAC:R-HSA-73894	DNA Repair	1.1075644894807552e-106	True	DNA Repair	329	95	81	10022	0.8526315789473684	0.2462006079027355	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
1	GO:BP	GO:0006259	DNA metabolic process	1.6241183978254432e-101	True	"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]"	1007	99	93	15719	0.9393939393939394	0.0923535253227408	query_1	['GO:0090304']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'BRCA2', 'POLA1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
1	REAC	REAC:R-HSA-5693532	DNA Double-Strand Break Repair	1.9043984599066557e-95	True	DNA Double-Strand Break Repair	168	95	65	10022	0.6842105263157895	0.3869047619047619	query_1	['REAC:R-HSA-73894']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MUS81', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'RAD51D', 'PAXIP1', 'LIG4', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'RAD51B', 'POLE', 'POLD2', 'RNF8', 'PALB2']
2	GO:BP	GO:0006974	DNA damage response	5.011095177672664e-95	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	854	99	87	15719	0.8787878787878788	0.1018735362997658	query_1	['GO:0033554']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MUS81', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'FANCI', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'BRCA2', 'POLA1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RAD51B', 'KDM1A', 'POLE', 'POLD2', 'RNF8', 'PALB2', 'MSH6']
2	REAC	REAC:R-HSA-5693538	Homology Directed Repair	1.0458188274394171e-81	True	Homology Directed Repair	138	95	56	10022	0.5894736842105263	0.4057971014492754	query_1	['REAC:R-HSA-5693532']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MUS81', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'RAD51D', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'XRCC1', 'XRCC2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'RAD51B', 'POLE', 'POLD2', 'RNF8', 'PALB2']
3	GO:BP	GO:0006302	double-strand break repair	1.0364034511323034e-78	True	"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]"	296	99	61	15719	0.6161616161616161	0.206081081081081	query_1	['GO:0006281']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MUS81', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'H2AX', 'RPA2', 'OGG1', 'BRCA2', 'POLA1', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'TP53', 'PNKP', 'RAD51B', 'KDM1A', 'RNF8', 'PALB2']
3	REAC	REAC:R-HSA-5685942	HDR through Homologous Recombination (HRR)	8.925511586469947e-75	True	HDR through Homologous Recombination (HRR)	68	95	44	10022	0.4631578947368421	0.6470588235294118	query_1	['REAC:R-HSA-5693567']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MUS81', 'POLD3', 'RAD50', 'RAD51AP1', 'RAD51D', 'POLD4', 'RPA2', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'XRCC2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'RAD51B', 'POLE', 'POLD2', 'PALB2']
4	GO:BP	GO:0006310	DNA recombination	1.169278966520152e-74	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	99	60	15719	0.6060606060606061	0.1880877742946708	query_1	['GO:0006259']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MUS81', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'RAD51D', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'ERCC1', 'XRCC5', 'NHEJ1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'XRCC2', 'KAT5', 'POLB', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'RMI1', 'RAD51B', 'KDM1A', 'RNF8', 'PALB2', 'MSH6']
4	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	1.934111344048145e-74	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	95	52	10022	0.5473684210526316	0.3939393939393939	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MUS81', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'RAD51D', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'XRCC2', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'XRCC3', 'SLX4', 'RAD51C', 'RMI2', 'POLE2', 'RMI1', 'RAD51B', 'POLE', 'POLD2', 'RNF8', 'PALB2']
