SHORT syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-162582	Signal Transduction	9.166055787739573e-39	True	Signal Transduction	2438	95	85	10022	0.8947368421052632	0.034864643150123	query_1	['REAC:0000000']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'TGFB3', 'PIK3R1', 'WIPF3', 'CRK', 'HGF', 'SHC1', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'USP4', 'TGFBR2', 'PIK3CD', 'WIPF1', 'PARD6A', 'ITGA2B', 'ITGA5', 'SQSTM1', 'PXN', 'WIPF2', 'DOCK8', 'PARD6B', 'FYN', 'PRKCI', 'WAS', 'PARD3', 'DOCK4', 'ZAP70', 'LYN', 'SHB', 'DVL2', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'TRAF6', 'CRKL', 'DOCK3', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'PKN3', 'PRKCZ', 'SMAD3', 'DOCK5', 'WDR6', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
0	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	9.967327879793621e-37	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]"	927	99	54	15719	0.5454545454545454	0.058252427184466	query_1	['GO:0007166']	['MET', 'RAPGEF1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
1	GO:BP	GO:0016477	cell migration	1.1308163199152985e-36	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	99	62	15719	0.6262626262626263	0.043447792571829	query_1	['GO:0048870']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'DOCK8', 'PARD6B', 'FYN', 'PRKCI', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'PKN3', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
2	GO:BP	GO:0048870	cell motility	6.062963566434823e-35	True	"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"	1609	99	63	15719	0.6363636363636364	0.0391547545059042	query_1	['GO:0009987']	['RHOJ', 'MET', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'CTNNB1', 'WASL', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'DOCK8', 'PARD6B', 'FYN', 'PRKCI', 'WAS', 'DOCK4', 'ZAP70', 'LYN', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'PKN3', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
3	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4.696189578048367e-33	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	99	44	15719	0.4444444444444444	0.0727272727272727	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'PIK3CB', 'VEGFB', 'PIK3R2', 'BCAR1', 'SRC', 'FGFR2', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'CRKL', 'VTN', 'PTK2', 'LCK', 'BLNK', 'PRKCZ', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
1	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.0739255559659715e-32	True	Signaling by Receptor Tyrosine Kinases	495	95	46	10022	0.4842105263157895	0.0929292929292929	query_1	['REAC:R-HSA-162582']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'PXN', 'FYN', 'LYN', 'SHB', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'VEGFA', 'PIK3R3', 'SH3GL2', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'PRKCZ', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'ELMO2']
4	GO:BP	GO:0035556	intracellular signal transduction	1.2547350824159102e-28	True	"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"	2545	99	68	15719	0.6868686868686869	0.0267190569744597	query_1	['GO:0007165']	['RHOJ', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'DOCK1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'SOS1', 'PIK3CD', 'SQSTM1', 'DOCK8', 'FYN', 'PRKCI', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'LYN', 'GRB2', 'DVL2', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'NYAP2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TRAF6', 'CRKL', 'DOCK3', 'TGFBR1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'PKN3', 'BLNK', 'PRKCZ', 'SMAD3', 'DOCK5', 'ELMO1', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA', 'F11R']
5	GO:BP	GO:0007166	cell surface receptor signaling pathway	1.2547350824159102e-28	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2638	99	69	15719	0.696969696969697	0.0261561789234268	query_1	['GO:0007165']	['MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'ITK', 'PIK3AP1', 'PLCG2', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA2B', 'ITGA5', 'PXN', 'FYN', 'PRKCI', 'LAT', 'ZAP70', 'LYN', 'SHB', 'GRB2', 'DVL2', 'TGFB1', 'LCP2', 'EGFR', 'PIK3CA', 'KDR', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'SMURF1', 'ERBB2', 'PTK2B', 'VEGFA', 'PIK3R3', 'TRAF6', 'CRKL', 'VTN', 'TLN1', 'TGFBR1', 'PTK2', 'ITGB6', 'LCK', 'BLNK', 'PRKCZ', 'SMAD3', 'PTPN11', 'CBL', 'NCK2', 'PDGFRA']
6	GO:BP	GO:0071363	cellular response to growth factor stimulus	3.257319351790478e-27	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]"	638	99	40	15719	0.404040404040404	0.0626959247648902	query_1	['GO:0070848', 'GO:0071495']	['RAPGEF1', 'PIK3CB', 'SMURF2', 'ITGB5', 'VEGFB', 'BCAR1', 'SRC', 'SMAD7', 'FGFR2', 'ITGB3', 'TGFB3', 'CRK', 'HGF', 'SHC1', 'CTNNB1', 'SOS1', 'TGFBR2', 'PIK3CD', 'ITGA5', 'PXN', 'FYN', 'GRB2', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'PLCG1', 'SMURF1', 'ERBB2', 'VEGFA', 'SH3GL2', 'CRKL', 'VTN', 'TGFBR1', 'PTK2', 'ITGB6', 'SMAD3', 'PTPN11', 'CBL', 'PDGFRA']
7	GO:BP	GO:0007155	cell adhesion	3.7513207667570216e-27	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	99	53	15719	0.5353535353535354	0.0376153300212916	query_1	['GO:0009987']	['RAPGEF1', 'ITGB1', 'NCK1', 'PIK3CB', 'ITGB5', 'ITGAV', 'FN1', 'PIK3R2', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'SMAD7', 'ITGB3', 'PIK3R1', 'CRK', 'SHC1', 'CTNNB1', 'TGFBR2', 'ITGA2B', 'ITGA5', 'PXN', 'DOCK8', 'FYN', 'PARD3', 'ZAP70', 'LYN', 'SHB', 'TGFB1', 'EGFR', 'PIK3CA', 'KDR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'VEGFA', 'TRAF6', 'CRKL', 'VTN', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'PRKCZ', 'SMAD3', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'F11R', 'ELMO2']
