Dyskeratosis congenita	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0006259	DNA metabolic process	1.007969741369369e-108	True	"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]"	1007	111	102	15719	0.918918918918919	0.1012909632571996	query_1	['GO:0090304']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'AKT1', 'RAD9B', 'XPA', 'NBN', 'STN1', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'TYMS', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'TEN1', 'DCP2', 'POLE4', 'TINF2', 'POLA1', 'BRCA2', 'GAR1', 'PRIM1', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'TERT', 'DKC1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'SMG6', 'APEX1', 'PRIM2', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'CHRAC1', 'POLA2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'NOP10', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
1	GO:BP	GO:0006281	DNA repair	5.911583693397718e-90	True	"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]"	573	111	81	15719	0.7297297297297297	0.1413612565445026	query_1	['GO:0006259', 'GO:0006974']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLA1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
0	REAC	REAC:R-HSA-73894	DNA Repair	6.850794360910964e-88	True	DNA Repair	329	104	75	10022	0.7211538461538461	0.2279635258358662	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLE4', 'TINF2', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
2	GO:BP	GO:0006974	DNA damage response	6.435526813919998e-79	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	854	111	83	15719	0.7477477477477478	0.0971896955503512	query_1	['GO:0033554']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'RAD9B', 'XPA', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'HLTF', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'OGG1', 'LIG1', 'POLA1', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'POLB', 'BARD1', 'WRN', 'RMI2', 'NPM1', 'POLE2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'CTC1', 'POLE', 'POLD2', 'RNF8', 'MSH6']
1	REAC	REAC:R-HSA-5693532	DNA Double-Strand Break Repair	1.6701281868336783e-76	True	DNA Double-Strand Break Repair	168	104	58	10022	0.5576923076923077	0.3452380952380952	query_1	['REAC:R-HSA-73894']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'PAXIP1', 'LIG4', 'FEN1', 'TDP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'TP53', 'POLE', 'POLD2', 'RNF8']
2	REAC	REAC:R-HSA-5693538	Homology Directed Repair	4.867778029328904e-64	True	Homology Directed Repair	138	104	49	10022	0.4711538461538461	0.3550724637681159	query_1	['REAC:R-HSA-5693532']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'FEN1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'PARP1', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'XRCC1', 'RTEL1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
3	GO:BP	GO:0006302	double-strand break repair	2.251314830405001e-61	True	"""The repair of double-strand breaks in DNA via homologous and nonhomologous mechanisms to reform a continuous DNA helix."" [GOC:elh]"	296	111	54	15719	0.4864864864864865	0.1824324324324324	query_1	['GO:0006281']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'TDP1', 'H2AX', 'RPA2', 'OGG1', 'POLA1', 'BRCA2', 'ATR', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'APTX', 'ERCC4', 'ATRIP', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'HUS1B', 'BRCA1', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'RNF8']
4	GO:BP	GO:0006310	DNA recombination	1.3989209549252897e-59	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	111	54	15719	0.4864864864864865	0.1692789968652037	query_1	['GO:0006259']	['RBBP8', 'HUS1', 'RPA4', 'BRIP1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'RAD52', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'ERCC1', 'NHEJ1', 'RPA1', 'ERCC4', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'RTEL1', 'KAT5', 'POLB', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'WRAP53', 'PIF1', 'RNF8', 'MSH6']
3	REAC	REAC:R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	2.0833550996383785e-57	True	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	132	104	45	10022	0.4326923076923077	0.3409090909090909	query_1	['REAC:R-HSA-5693538']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'TP53BP1', 'POLD3', 'RAD50', 'RAD52', 'RAD51AP1', 'POLD4', 'H2AX', 'RPA2', 'MDC1', 'POLE4', 'BRCA2', 'RAD1', 'PCNA', 'ATR', 'RPA3', 'ERCC1', 'RPA1', 'ERCC4', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'POLE3', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'CDK2', 'RTEL1', 'KAT5', 'POLD1', 'BARD1', 'WRN', 'RMI2', 'POLE2', 'RMI1', 'POLE', 'POLD2', 'RNF8']
4	REAC	REAC:R-HSA-9675135	Diseases of DNA repair	3.128571873426635e-56	True	Diseases of DNA repair	50	104	34	10022	0.3269230769230769	0.68	query_1	['REAC:R-HSA-1643685']	['RBBP8', 'HUS1', 'BRIP1', 'RAD9B', 'NBN', 'MSH2', 'RAD50', 'RAD51AP1', 'MLH1', 'RPA2', 'MSH3', 'OGG1', 'BRCA2', 'RAD1', 'ATR', 'RPA3', 'PMS2', 'RPA1', 'ATRIP', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'EXO1', 'BRCA1', 'KAT5', 'BARD1', 'WRN', 'RMI2', 'RMI1', 'NEIL1', 'MSH6']
