Keppen-Lubinsky syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-977444	GABA B receptor activation	9.62625148194661e-69	True	GABA B receptor activation	43	100	34	17376	0.34	0.7906976744186046	query_1	['REAC:R-HSA-977443']	['KCNJ16', 'GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'GNAL', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'ADCY3', 'KCNJ2', 'GNB1', 'GABBR2', 'GNAI3', 'GNAT3', 'KCNJ3', 'GNAI1', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
1	REAC	REAC:R-HSA-991365	Activation of GABAB receptors	9.62625148194661e-69	True	Activation of GABAB receptors	43	100	34	17376	0.34	0.7906976744186046	query_1	['REAC:R-HSA-977444']	['KCNJ16', 'GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'GNAL', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'ADCY3', 'KCNJ2', 'GNB1', 'GABBR2', 'GNAI3', 'GNAT3', 'KCNJ3', 'GNAI1', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
2	GO:CC	GO:0005834	heterotrimeric G-protein complex	6.818657033347491e-64	True	"""Any of a family of heterotrimeric GTP-binding and hydrolyzing proteins; they belong to a superfamily of GTPases that includes monomeric proteins such as EF-Tu and RAS. Heterotrimeric G-proteins consist of three subunits; the alpha subunit contains the guanine nucleotide binding site and possesses GTPase activity; the beta and gamma subunits are tightly associated and function as a beta-gamma heterodimer; extrinsic plasma membrane proteins (cytoplasmic face) that function as a complex to transduce signals from G protein-coupled receptors to an effector protein."" [ISBN:0198547684]"	33	100	30	17376	0.3	0.9090909090909092	query_1	['GO:0031234', 'GO:0098797', 'GO:1905360']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
3	REAC	REAC:R-HSA-977443	GABA receptor activation	4.113871099749203e-62	True	GABA receptor activation	57	100	34	17376	0.34	0.5964912280701754	query_1	['REAC:R-HSA-112314']	['KCNJ16', 'GNB3', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'KCNJ15', 'GNAL', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'ADCY3', 'KCNJ2', 'GNB1', 'GABBR2', 'GNAI3', 'GNAT3', 'KCNJ3', 'GNAI1', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
4	REAC	REAC:R-HSA-1296059	G protein gated Potassium channels	4.113871099749203e-62	True	G protein gated Potassium channels	29	100	28	17376	0.28	0.9655172413793104	query_1	['REAC:R-HSA-1296065']	['KCNJ16', 'GNB3', 'GNG5', 'GNG13', 'GNB5', 'KCNJ15', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
5	REAC	REAC:R-HSA-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	4.113871099749203e-62	True	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	29	100	28	17376	0.28	0.9655172413793104	query_1	['REAC:R-HSA-991365']	['KCNJ16', 'GNB3', 'GNG5', 'GNG13', 'GNB5', 'KCNJ15', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
6	REAC	REAC:R-HSA-1296041	Activation of G protein gated Potassium channels	4.113871099749203e-62	True	Activation of G protein gated Potassium channels	29	100	28	17376	0.28	0.9655172413793104	query_1	['REAC:R-HSA-1296059']	['KCNJ16', 'GNB3', 'GNG5', 'GNG13', 'GNB5', 'KCNJ15', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'GNG3', 'GNG4', 'KCNJ12', 'GNGT1']
7	REAC	REAC:R-HSA-1296065	Inwardly rectifying K+ channels	8.03087067279987e-60	True	Inwardly rectifying K+ channels	35	100	29	17376	0.29	0.8285714285714286	query_1	['REAC:R-HSA-1296071']	['KCNJ16', 'GNB3', 'GNG5', 'GNG13', 'GNB5', 'KCNJ15', 'GNB4', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'KCNJ10', 'GNG7', 'KCNJ9', 'KCNJ4', 'KCNJ5', 'GNB2', 'KCNJ6', 'GNG12', 'KCNJ2', 'GNB1', 'GABBR2', 'KCNJ3', 'GNG3', 'KCNJ14', 'GNG4', 'KCNJ12', 'GNGT1']
8	GO:CC	GO:1905360	GTPase complex	1.2934726038433425e-59	True	"""A protein complex which is capable of GTPase activity."" [GO_REF:0000088, GOC:bhm, GOC:TermGenie, PMID:9178006]"	39	100	30	17376	0.3	0.7692307692307693	query_1	['GO:1902494']	['GNB3', 'GNA11', 'GNG5', 'GNAI2', 'GNG13', 'GNB5', 'GNA15', 'GNAL', 'GNB4', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'GNG7', 'GNAS', 'GNB2', 'GNAO1', 'GNG12', 'GNAT2', 'GNB1', 'GNAI3', 'GNA13', 'GNAT3', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'GNA12']
9	REAC	REAC:R-HSA-418594	G alpha (i) signalling events	1.2162393040943777e-56	True	G alpha (i) signalling events	279	100	47	17376	0.47	0.1684587813620071	query_1	['REAC:R-HSA-388396']	['GNB3', 'GNA11', 'GNG5', 'PRKCA', 'GNAI2', 'GNG13', 'GNB5', 'PLCB1', 'GNA15', 'GNAL', 'GNB4', 'MTNR1B', 'GABBR1', 'GNG11', 'GNG8', 'GNG10', 'GNG2', 'MTNR1A', 'ADRA2C', 'P2RY12', 'GNG7', 'RGS12', 'GNAS', 'GNB2', 'RGS20', 'HTR1B', 'PTGER3', 'PLCB3', 'GNG12', 'HTR1D', 'ADCY3', 'GNAT2', 'GNB1', 'GABBR2', 'GNAI3', 'GNAT3', 'RGS17', 'GNAI1', 'GNG3', 'GNAZ', 'GNAQ', 'GNG4', 'GNGT1', 'ADRA2A', 'RGS7', 'S1PR2', 'RGS14']
