Aquagenic palmoplantar keratoderma	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-162582	Signal Transduction	4.353968494801426e-28	True	Signal Transduction	2438	96	77	10022	0.8020833333333334	0.0315832649712879	query_1	['REAC:0000000']	['DLG4', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'GOPC', 'ITGAV', 'FN1', 'PREX1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'TIAM1', 'ITGB3', 'KIF5A', 'PIK3R1', 'WIPF3', 'CRK', 'DLG3', 'RHOQ', 'KLC4', 'HGF', 'SHC1', 'PLCG2', 'DLG2', 'DYNLL2', 'WASL', 'SOS1', 'USP4', 'WIPF1', 'DLG1', 'GRIN1', 'KIF5B', 'ITGA2B', 'PXN', 'WIPF2', 'FYN', 'GRIN2B', 'WAS', 'DOCK4', 'ZAP70', 'RHOA', 'CFTR', 'DLC1', 'RHOG', 'LYN', 'SHB', 'EGFR', 'KLC2', 'KTN1', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'ITSN1', 'DOCK3', 'TLN1', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'DOCK5', 'KLC1', 'ELMO1', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'DYNLL1', 'YES1']
1	REAC	REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	1.8953392130328545e-27	True	Signaling by Receptor Tyrosine Kinases	495	96	42	10022	0.4375	0.0848484848484848	query_1	['REAC:R-HSA-162582']	['DLG4', 'MET', 'RAPGEF1', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'BCAR1', 'DOCK1', 'SRC', 'SPP1', 'TIAM1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'GRIN2B', 'RHOA', 'LYN', 'SHB', 'EGFR', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'CRKL', 'DOCK3', 'PTK2', 'LCK', 'ELMO1', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'YES1']
0	GO:CC	GO:0005886	plasma membrane	1.2218293037451001e-26	True	"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]"	4850	99	83	16420	0.8383838383838383	0.0171134020618556	query_1	['GO:0016020', 'GO:0071944']	['DLG4', 'MET', 'RAPGEF1', 'GRIN2A', 'ITGB1', 'NCK1', 'GOPC', 'ITGAV', 'FN1', 'PREX1', 'BCAR1', 'DOCK1', 'EPHB4', 'SRC', 'EPHA5', 'TIAM1', 'ITGB3', 'PIK3R1', 'CRK', 'DLG3', 'RHOQ', 'SHC1', 'ITK', 'SYTL3', 'PLCG2', 'DLG2', 'DYNLL2', 'DLGAP1', 'WASL', 'SOS1', 'USP4', 'DLG1', 'GRIN1', 'ITGA2B', 'PXN', 'FYN', 'GRIN2B', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'RHOA', 'CFTR', 'DLC1', 'RHOG', 'LYN', 'SHB', 'GRB2', 'LCP2', 'EGFR', 'KLC2', 'KTN1', 'VCL', 'CHRNA7', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'EFNB2', 'CRKL', 'ITSN1', 'DOCK3', 'EPHB3', 'TLN1', 'SDC3', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'EFNB1', 'SIPA1L1', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'DYNLL1', 'SHANK3', 'RAB27A', 'YES1']
0	GO:BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	4.384853283706856e-26	True	"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb, GOC:signaling]"	605	99	39	15719	0.3939393939393939	0.0644628099173553	query_1	['GO:0007167']	['MET', 'RAPGEF1', 'NCK1', 'BCAR1', 'EPHB4', 'SRC', 'EPHA5', 'TIAM1', 'ITGB3', 'PIK3R1', 'CRK', 'RHOQ', 'HGF', 'SHC1', 'SOS1', 'PXN', 'FYN', 'ZAP70', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'EFNB2', 'CRKL', 'EPHB3', 'PTK2', 'LCK', 'EFNB1', 'SIPA1L1', 'CBL', 'PTPN11', 'NCK2', 'PDGFRA', 'YES1']
1	GO:CC	GO:0071944	cell periphery	3.2692614335341354e-25	True	"""The broad region around and including the plasma membrane of a cell,  encompassing the cell cortex (inside the cell), the plasma membrane, and any external encapsulating structures."" [GOC:pdt]"	5277	99	84	16420	0.8484848484848485	0.01591813530415	query_1	['GO:0110165']	['MYRIP', 'DLG4', 'MET', 'RAPGEF1', 'GRIN2A', 'ITGB1', 'NCK1', 'GOPC', 'ITGAV', 'FN1', 'PREX1', 'BCAR1', 'DOCK1', 'EPHB4', 'SRC', 'EPHA5', 'TIAM1', 'ITGB3', 'PIK3R1', 'CRK', 'DLG3', 'RHOQ', 'SHC1', 'ITK', 'SYTL3', 'PLCG2', 'DLG2', 'DYNLL2', 'DLGAP1', 'WASL', 'SOS1', 'USP4', 'DLG1', 'GRIN1', 'ITGA2B', 'PXN', 'FYN', 'GRIN2B', 'WAS', 'LAT', 'DOCK4', 'ZAP70', 'RHOA', 'CFTR', 'DLC1', 'RHOG', 'LYN', 'SHB', 'GRB2', 'LCP2', 'EGFR', 'KLC2', 'KTN1', 'VCL', 'CHRNA7', 'VAV1', 'SYK', 'PLCG1', 'FCGR1A', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'EFNB2', 'CRKL', 'ITSN1', 'DOCK3', 'EPHB3', 'TLN1', 'SDC3', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'EFNB1', 'SIPA1L1', 'DOCK5', 'ELMO1', 'CBL', 'PDGFRA', 'DYNLL1', 'SHANK3', 'RAB27A', 'YES1']
2	GO:CC	GO:0030054	cell junction	3.2692614335341354e-25	True	"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]"	2080	99	58	16420	0.5858585858585859	0.0278846153846153	query_1	['GO:0110165']	['MYRIP', 'DLG4', 'GRIN2A', 'ITGB1', 'NCK1', 'GOPC', 'ITGAV', 'BCAR1', 'SRC', 'TIAM1', 'ITGB3', 'KIF5A', 'PIK3R1', 'CRK', 'DLG3', 'ITK', 'DLG2', 'DYNLL2', 'DLGAP1', 'WASL', 'SOS1', 'DLG1', 'GRIN1', 'ITGA2B', 'PXN', 'FYN', 'GRIN2B', 'WAS', 'LAT', 'ZAP70', 'RHOA', 'DLC1', 'RHOG', 'LYN', 'GRB2', 'LCP2', 'EGFR', 'VCL', 'CHRNA7', 'VAV1', 'PLCG1', 'ERBB2', 'SH3KBP1', 'PTK2B', 'SH3GL2', 'EFNB2', 'CRKL', 'ITSN1', 'TLN1', 'PTK2', 'ITGB6', 'EFNB1', 'SIPA1L1', 'CBL', 'NCK2', 'PDGFRA', 'SHANK3', 'YES1']
1	GO:BP	GO:0016477	cell migration	3.8704742552560313e-22	True	"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]"	1427	99	49	15719	0.494949494949495	0.0343377715487035	query_1	['GO:0048870']	['MET', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'PREX1', 'BCAR1', 'DOCK1', 'EPHB4', 'SRC', 'TIAM1', 'ITGB3', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'PXN', 'FYN', 'DOCK4', 'ZAP70', 'RHOA', 'DLC1', 'RHOG', 'LYN', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'SH3KBP1', 'PTK2B', 'EFNB2', 'CRKL', 'EPHB3', 'SDC3', 'PTK2', 'ITGB6', 'DOCK2', 'LCK', 'EFNB1', 'DOCK5', 'ELMO1', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'YES1']
2	REAC	REAC:R-HSA-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	6.04678225266143e-22	True	Fcgamma receptor (FCGR) dependent phagocytosis	89	96	21	10022	0.21875	0.2359550561797752	query_1	['REAC:R-HSA-168249']	['NCK1', 'DOCK1', 'PIK3R1', 'WIPF3', 'CRK', 'PLCG2', 'WASL', 'WIPF1', 'WIPF2', 'FYN', 'WAS', 'LYN', 'VAV1', 'SYK', 'MYO5A', 'PLCG1', 'FCGR1A', 'PTK2', 'ELMO1', 'ELMO2', 'YES1']
2	GO:BP	GO:0007155	cell adhesion	1.4735252702860924e-21	True	"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]"	1409	99	48	15719	0.4848484848484848	0.0340667139815471	query_1	['GO:0009987']	['DLG4', 'RAPGEF1', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'PREX1', 'BCAR1', 'DOCK1', 'EPHB4', 'SRC', 'SPP1', 'TIAM1', 'ITGB3', 'PIK3R1', 'CRK', 'DLG3', 'SHC1', 'DLG2', 'DLG1', 'ITGA2B', 'PXN', 'FYN', 'ZAP70', 'RHOA', 'DLC1', 'LYN', 'SHB', 'EGFR', 'VCL', 'VAV1', 'SYK', 'ERBB2', 'PTK2B', 'EFNB2', 'CRKL', 'EPHB3', 'TLN1', 'PTK2', 'ITGB6', 'LCK', 'EFNB1', 'DOCK5', 'PTPN11', 'NCK2', 'PDGFRA', 'ELMO2', 'YES1']
3	GO:BP	GO:0040011	locomotion	2.098956186698311e-21	True	"""Self-propelled movement of a cell or organism from one location to another."" [GOC:dgh]"	1285	99	46	15719	0.4646464646464646	0.0357976653696498	query_1	['GO:0008150']	['MET', 'GRIN2A', 'ITGB1', 'NCK1', 'ITGAV', 'FN1', 'PREX1', 'BCAR1', 'DOCK1', 'EPHB4', 'SRC', 'EPHA5', 'TIAM1', 'ITGB3', 'KIF5A', 'PIK3R1', 'CRK', 'HGF', 'PLCG2', 'WASL', 'SOS1', 'KIF5B', 'FYN', 'WAS', 'DOCK4', 'RHOA', 'DLC1', 'RHOG', 'LYN', 'EGFR', 'VCL', 'VAV1', 'SYK', 'PLCG1', 'ERBB2', 'PTK2B', 'EFNB2', 'CRKL', 'EPHB3', 'PTK2', 'DOCK2', 'EFNB1', 'DOCK5', 'PDGFRA', 'ELMO2', 'SHANK3']
