Ablepharon macrostomia syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	1.1672875596005833e-56	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1202	99	73	15719	0.7373737373737373	0.0607321131447587	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
1	GO:BP	GO:0045893	positive regulation of DNA-templated transcription	1.2263048067814744e-51	True	"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1641	99	76	15719	0.7676767676767676	0.0463132236441194	query_1	['GO:0006351', 'GO:0006355', 'GO:1903508']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
2	GO:BP	GO:1903508	positive regulation of nucleic acid-templated transcription	1.2263048067814744e-51	True	"""Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1641	99	76	15719	0.7676767676767676	0.0463132236441194	query_1	['GO:0097659', 'GO:1902680', 'GO:1903506']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
3	GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	1.2663763908832141e-51	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1648	99	76	15719	0.7676767676767676	0.0461165048543689	query_1	['GO:0010557', 'GO:0031328', 'GO:0032774', 'GO:0051254', 'GO:2001141']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
4	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	1.9287561095357772e-51	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2347	99	84	15719	0.8484848484848485	0.0357903706859821	query_1	['GO:0006355', 'GO:0006366']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
5	GO:BP	GO:0051254	positive regulation of RNA metabolic process	7.353948805333384e-51	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1773	99	77	15719	0.7777777777777778	0.0434292160180485	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
6	GO:BP	GO:0006366	transcription by RNA polymerase II	4.83149993356605e-50	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2450	99	84	15719	0.8484848484848485	0.0342857142857142	query_1	['GO:0006351']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
7	GO:BP	GO:0006355	regulation of DNA-templated transcription	4.946436883533023e-50	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3143	99	90	15719	0.9090909090909092	0.0286350620426344	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
8	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	4.946436883533023e-50	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3145	99	90	15719	0.9090909090909092	0.0286168521462639	query_1	['GO:0097659', 'GO:2001141']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
9	GO:BP	GO:2001141	regulation of RNA biosynthetic process	8.052918730251442e-50	True	"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]"	3166	99	90	15719	0.9090909090909092	0.0284270372710044	query_1	['GO:0010556', 'GO:0031326', 'GO:0032774', 'GO:0051252']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
