Ablepharon macrostomia syndrome	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0045944	positive regulation of transcription by RNA polymerase II	4.383480049243206e-64	True	"""Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."" [GOC:go_curators, GOC:txnOH]"	1257	100	73	21110	0.73	0.0580747812251392	query_1	['GO:0006357', 'GO:0006366', 'GO:0045893']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
1	GO:MF	GO:0140110	transcription regulator activity	4.137536237412159e-60	True	"""A molecular function that controls the rate, timing and/or magnitude of gene transcription. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism. Genes are transcriptional units, and include bacterial operons."" [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]"	1936	100	80	20195	0.8	0.0413223140495867	query_1	['GO:0003674']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
2	GO:BP	GO:1903508	positive regulation of nucleic acid-templated transcription	8.534412352939912e-59	True	"""Any process that activates or increases the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1718	100	76	21110	0.76	0.0442374854481955	query_1	['GO:0097659', 'GO:1902680', 'GO:1903506']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
3	GO:BP	GO:0045893	positive regulation of DNA-templated transcription	8.534412352939912e-59	True	"""Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1718	100	76	21110	0.76	0.0442374854481955	query_1	['GO:0006351', 'GO:0006355', 'GO:1903508']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
4	GO:BP	GO:1902680	positive regulation of RNA biosynthetic process	1.1606092614830056e-58	True	"""Any process that activates or increases the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]"	1725	100	76	21110	0.76	0.0440579710144927	query_1	['GO:0010557', 'GO:0031328', 'GO:0032774', 'GO:0051254', 'GO:2001141']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
5	GO:BP	GO:0051254	positive regulation of RNA metabolic process	8.71731215530938e-58	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]"	1857	100	77	21110	0.77	0.0414647280560043	query_1	['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']	['REST', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'TBL1X', 'TBX5', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'NCOA1', 'HIPK2', 'VDR']
6	GO:BP	GO:0006357	regulation of transcription by RNA polymerase II	1.4852553391042916e-57	True	"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]"	2564	100	84	21110	0.84	0.0327613104524181	query_1	['GO:0006355', 'GO:0006366']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
7	GO:BP	GO:0006355	regulation of DNA-templated transcription	4.5494265538435565e-56	True	"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	3455	100	90	21110	0.9	0.0260492040520984	query_1	['GO:0006351', 'GO:0010468', 'GO:1903506']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
8	GO:BP	GO:1903506	regulation of nucleic acid-templated transcription	4.790567446460293e-56	True	"""Any process that modulates the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	3457	100	90	21110	0.9	0.026034133641886	query_1	['GO:0097659', 'GO:2001141']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SUMO1', 'SMAD2', 'SMARCB1', 'SMAD9', 'ASAH1', 'SMAD4', 'VGLL4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'PRMT5', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'WWP1', 'GATA4', 'FOXO1', 'PDE8A', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
9	GO:BP	GO:0006366	transcription by RNA polymerase II	5.354440436289477e-56	True	"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]"	2677	100	84	21110	0.84	0.0313784086664176	query_1	['GO:0006351']	['REST', 'UBE2I', 'NRIP1', 'SOX9', 'RXRA', 'NCOA3', 'TGIF1', 'AKT1', 'WDR77', 'CREBBP', 'NKX2-5', 'CBFB', 'FOXO3', 'SENP1', 'NR1H2', 'NCOA2', 'CTNNB1', 'HDAC1', 'FLI1', 'SMARCA4', 'SMARCA2', 'ELK1', 'FOXG1', 'TBL1X', 'TBX5', 'NCOR2', 'SIN3A', 'RXRB', 'NR1H3', 'HIVEP3', 'TEAD2', 'MED12', 'AR', 'MAF', 'WWTR1', 'SMAD2', 'SMARCB1', 'SMAD9', 'SMAD4', 'RUNX1', 'ELK3', 'EP300', 'MECP2', 'TEAD1', 'TEAD4', 'SUMO2', 'GPS2', 'NCOR1', 'HDAC3', 'ESR2', 'RUNX2', 'ELK4', 'SMARCC2', 'SKI', 'NR5A1', 'RCOR1', 'SP1', 'TEAD3', 'SENP2', 'NR1H4', 'KAT2B', 'SRY', 'ESR1', 'WT1', 'GATA4', 'FOXO1', 'RARA', 'FOXH1', 'TBL1XR1', 'TP53', 'SMAD3', 'TWIST2', 'HDAC2', 'MYOCD', 'YAP1', 'KDM1A', 'THRB', 'ZFPM2', 'SMARCC1', 'SRF', 'SKIL', 'NCOA1', 'HIPK2', 'VDR']
