Branchio-oculo-facial syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	3.3822475048893724e-62	True	Generic Transcription Pathway	1153	98	84	10022	0.8571428571428571	0.0728534258456201	query_1	['REAC:R-HSA-73857']	['CITED2', 'CDKN2B', 'TGIF1', 'BMI1', 'AKT1', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'RBX1', 'SIN3A', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'KCTD15', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
1	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	8.261337919426881e-59	True	RNA Polymerase II Transcription	1274	98	84	10022	0.8571428571428571	0.0659340659340659	query_1	['REAC:R-HSA-74160']	['CITED2', 'CDKN2B', 'TGIF1', 'BMI1', 'AKT1', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'RBX1', 'SIN3A', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'KCTD15', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
2	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	6.986196740835138e-57	True	Gene expression (Transcription)	1409	98	85	10022	0.8673469387755102	0.0603264726756564	query_1	['REAC:0000000']	['CITED2', 'CDKN2B', 'TGIF1', 'BMI1', 'AKT1', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'KCTD15', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
3	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	3.997962260278847e-49	True	Cyclin D associated events in G1	46	98	30	10022	0.3061224489795918	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
4	REAC	REAC:R-HSA-69236	G1 Phase	3.997962260278847e-49	True	G1 Phase	46	98	30	10022	0.3061224489795918	0.6521739130434783	query_1	['REAC:R-HSA-453279']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
5	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	3.73731685420275e-47	True	Mitotic G1 phase and G1/S transition	147	98	40	10022	0.4081632653061224	0.272108843537415	query_1	['REAC:R-HSA-69278']	['CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'E2F4', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'RBBP4', 'CCNE1', 'CDKN2D', 'E2F5', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2C', 'CDKN2A', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
0	GO:CC	GO:0005654	nucleoplasm	2.828429854635901e-46	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3998	100	93	16420	0.93	0.0232616308154077	query_1	['GO:0031981', 'GO:0110165']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
1	GO:CC	GO:0031981	nuclear lumen	3.2408419374540094e-43	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4350	100	93	16420	0.93	0.0213793103448275	query_1	['GO:0005634', 'GO:0070013']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'AKT1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CKS1B', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'TFAP2C', 'CCNB1', 'MAX', 'CDK7', 'CCNA1', 'RBL1', 'FOXO3', 'KCTD1', 'CCNE2', 'RBL2', 'TFDP1', 'TRRAP', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'RBX1', 'SIN3A', 'CDKN2D', 'PCGF6', 'E2F5', 'CDKN1A', 'CCNA2', 'AR', 'E2F2', 'CCNH', 'KDM5B', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'RUVBL1', 'EHMT1', 'MNAT1', 'YY1', 'CDK1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'CITED4', 'UBE2W', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'SKP2', 'L3MBTL2', 'TFAP2B', 'RNF2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'YEATS4', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
0	GO:BP	GO:1903507	negative regulation of nucleic acid-templated transcription	2.0657313537699945e-42	True	"""Any process that stops, prevents or reduces the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]"	1251	100	64	15719	0.64	0.0511590727418065	query_1	['GO:0097659', 'GO:1902679', 'GO:1903506']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
1	GO:BP	GO:0045892	negative regulation of DNA-templated transcription	2.0657313537699945e-42	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]"	1249	100	64	15719	0.64	0.0512409927942353	query_1	['GO:0006351', 'GO:0006355', 'GO:1903507']	['CITED2', 'REST', 'TGIF1', 'BMI1', 'CTCF', 'MYC', 'EZH2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'TFAP2C', 'MAX', 'RBL1', 'FOXO3', 'KCTD1', 'RING1', 'CTNNB1', 'RB1', 'HDAC1', 'PHC1', 'TFAP2A', 'RBBP4', 'SMARCA4', 'CCNE1', 'EED', 'FOXG1', 'DNMT1', 'SIN3A', 'PCGF6', 'AR', 'KDM5B', 'SMAD2', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'E2F1', 'EHMT1', 'YY1', 'SUZ12', 'CDKN2A', 'RCOR1', 'CDK2', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'KAT5', 'CCND3', 'L3MBTL2', 'TFAP2B', 'FOXH1', 'RNF2', 'CDKN1B', 'TP53', 'TFDP2', 'SMAD3', 'HDAC2', 'KDM1A', 'CDK6', 'EPC1', 'CCND1', 'PHC3']
