Hoyeraal-Hreidarsson syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0006259	DNA metabolic process	4.9775241569586536e-82	True	"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]"	1007	104	86	15719	0.8269230769230769	0.0854021847070506	query_1	['GO:0090304']	['RBBP8', 'HUS1', 'ACD', 'AKT1', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'CTNNB1', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'NHP2', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'RAD1', 'PCNA', 'RPA3', 'TERT', 'TNKS2', 'CHD1L', 'DKC1', 'POT1', 'PARN', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'POLA2', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'NOP10', 'RMI2', 'TNKS', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
0	REAC	REAC:R-HSA-73894	DNA Repair	1.6227343483412142e-72	True	DNA Repair	329	100	66	10022	0.66	0.2006079027355623	query_1	['REAC:0000000']	['RBBP8', 'HUS1', 'ACD', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'TERF1', 'TINF2', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'EXO1', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'PNKP', 'NEIL1', 'RNF8', 'MSH6']
1	GO:BP	GO:0006281	DNA repair	2.7671380950018743e-71	True	"""The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."" [PMID:11563486]"	573	104	69	15719	0.6634615384615384	0.1204188481675392	query_1	['GO:0006259', 'GO:0006974']	['RBBP8', 'HUS1', 'RAD9B', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
2	GO:BP	GO:0000723	telomere maintenance	2.267242456535209e-65	True	"""Any process that contributes to the maintenance of proper telomeric length and structure by affecting and monitoring the activity of telomeric proteins, the length of telomeric DNA and the replication and repair of the DNA. These processes includes those that shorten, lengthen, replicate and repair the telomeric DNA sequences."" [GOC:BHF, GOC:BHF_telomere, GOC:elh, GOC:rl, PMID:11092831]"	156	104	47	15719	0.4519230769230769	0.3012820512820512	query_1	['GO:0006259', 'GO:0032200']	['HUS1', 'ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'CTNNB1', 'FEN1', 'NHP2', 'RPA2', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'RPA3', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'NOP10', 'TNKS', 'WRAP53', 'PNKP', 'PIF1']
3	GO:BP	GO:0006974	DNA damage response	1.864338242887718e-62	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]"	854	104	71	15719	0.6826923076923077	0.0831381733021077	query_1	['GO:0033554']	['RBBP8', 'HUS1', 'ACD', 'RAD9B', 'NBN', 'MDM2', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'FANCI', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'MDC1', 'LIG1', 'BRCA2', 'RAD1', 'PCNA', 'RPA3', 'CHD1L', 'POT1', 'PMS2', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'RAD9A', 'MRE11', 'RAD51', 'TOP3A', 'USP7', 'DCLRE1B', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'TP53', 'WRAP53', 'PNKP', 'NEIL1', 'PIF1', 'RNF8', 'MSH6']
4	GO:BP	GO:0032200	telomere organization	2.5049578628558068e-61	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."" [GOC:dph, GOC:jl, GOC:mah]"	187	104	47	15719	0.4519230769230769	0.2513368983957219	query_1	['GO:0051276']	['HUS1', 'ACD', 'NBN', 'ATRX', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'CTNNB1', 'FEN1', 'NHP2', 'RPA2', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'RPA3', 'TERT', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'NOP10', 'TNKS', 'WRAP53', 'PNKP', 'PIF1']
0	GO:CC	GO:0000781	chromosome, telomeric region	3.922956752293189e-57	True	"""The end of a linear chromosome, required for the integrity and maintenance of the end. A chromosome telomere usually includes a region of telomerase-encoded repeats the length of which rarely exceeds 20 bp each and that permits the formation of a telomeric loop (T-loop). The telomeric repeat region is usually preceded by a sub-telomeric region that is gene-poor but rich in repetitive elements. Some telomeres only consist of the latter part (for eg. D. melanogaster telomeres)."" [GOC:elh]"	167	104	43	16420	0.4134615384615384	0.2574850299401197	query_1	['GO:0098687']	['ACD', 'NBN', 'MSH2', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'RAD51AP1', 'XRCC6', 'TERF2IP', 'LIG4', 'FEN1', 'H2AX', 'NHP2', 'RPA2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'TERT', 'TNKS2', 'POT1', 'PARP1', 'XRCC5', 'RPA1', 'BLM', 'ATM', 'MRE11', 'RAD51', 'DCLRE1B', 'SMG6', 'APEX1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'POLD1', 'WRN', 'TNKS', 'WRAP53', 'PIF1', 'RNF8']
5	GO:BP	GO:0006310	DNA recombination	1.3435279033513286e-54	True	"""Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction."" [ISBN:0198506732]"	319	104	50	15719	0.4807692307692308	0.1567398119122257	query_1	['GO:0006259']	['RBBP8', 'HUS1', 'NBN', 'MSH2', 'TP53BP1', 'RAD50', 'TERF2', 'RAD51AP1', 'LIG3', 'XRCC6', 'WDR48', 'TERF2IP', 'PAXIP1', 'LIG4', 'APLF', 'MLH1', 'FEN1', 'H2AX', 'RPA2', 'MSH3', 'LIG1', 'BRCA2', 'RPA3', 'PARP1', 'XRCC4', 'XRCC5', 'NHEJ1', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'TOP3A', 'APEX1', 'HUS1B', 'EXO1', 'BRCA1', 'PRKDC', 'XRCC1', 'RTEL1', 'BARD1', 'POLB', 'WRN', 'RMI2', 'RMI1', 'WRAP53', 'PIF1', 'RNF8', 'MSH6']
6	GO:BP	GO:0051276	chromosome organization	1.785979447757846e-51	True	"""A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of chromosomes, structures composed of a very long molecule of DNA and associated proteins that carries hereditary information. This term covers covalent modifications at the molecular level as well as spatial relationships among the major components of a chromosome."" [GOC:ai, GOC:dph, GOC:jl, GOC:mah]"	620	104	58	15719	0.5576923076923077	0.0935483870967742	query_1	['GO:0006996']	['HUS1', 'ACD', 'NBN', 'MSH2', 'ATRX', 'RAD50', 'TERF2', 'XRCC6', 'TERF2IP', 'LIG4', 'CTNNB1', 'MLH1', 'FEN1', 'NHP2', 'RPA2', 'MSH3', 'DCP2', 'TERF1', 'TINF2', 'BRCA2', 'GAR1', 'PCNA', 'RPA3', 'TERT', 'TNKS2', 'CHD1L', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'RPA1', 'FANCD2', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'TOP3A', 'USP7', 'DCLRE1B', 'SMG6', 'APEX1', 'HUS1B', 'EXO1', 'AXIN2', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'WRN', 'NOP10', 'RMI2', 'TNKS', 'TP53', 'WRAP53', 'PNKP', 'PIF1']
7	GO:BP	GO:0051052	regulation of DNA metabolic process	6.858077777466167e-50	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]"	517	104	54	15719	0.5192307692307693	0.104448742746615	query_1	['GO:0006259', 'GO:0019219', 'GO:0060255']	['RBBP8', 'ACD', 'AKT1', 'NBN', 'MSH2', 'USP1', 'TP53BP1', 'ATRX', 'RAD50', 'TERF2', 'RAD51AP1', 'LIG3', 'WDR48', 'TERF2IP', 'PAXIP1', 'CTNNB1', 'APLF', 'MLH1', 'H2AX', 'RPA2', 'MSH3', 'DCP2', 'TERF1', 'TINF2', 'PCNA', 'TNKS2', 'DKC1', 'POT1', 'PARN', 'PARP1', 'XRCC5', 'BLM', 'ATM', 'MRE11', 'RAD51', 'NAF1', 'USP7', 'SMG6', 'AXIN2', 'BRCA1', 'CDK2', 'PRKDC', 'XRCC1', 'RTEL1', 'BARD1', 'WRN', 'RMI2', 'TNKS', 'TP53', 'WRAP53', 'PNKP', 'PIF1', 'RNF8', 'MSH6']
