Cockayne syndrome type 3	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	REAC	REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	5.6188687944051255e-83	True	Mitotic G1 phase and G1/S transition	147	102	53	17376	0.5196078431372549	0.3605442176870748	query_1	['REAC:R-HSA-69278']	['MCM6', 'CDKN2B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CDKN2D', 'CDC6', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'CCND2', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'MCM2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TFDP2', 'CDK6', 'ORC4', 'CCND1', 'ORC2']
1	REAC	REAC:R-HSA-69206	G1/S Transition	1.7476027444001559e-68	True	G1/S Transition	130	102	45	17376	0.4411764705882353	0.3461538461538461	query_1	['REAC:R-HSA-453279']	['MCM6', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CDC6', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDK2', 'ORC1', 'MCM2', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TFDP2', 'ORC4', 'CCND1', 'ORC2']
2	REAC	REAC:R-HSA-69278	Cell Cycle, Mitotic	9.382457222120214e-62	True	Cell Cycle, Mitotic	543	102	60	17376	0.5882352941176471	0.1104972375690607	query_1	['REAC:R-HSA-1640170']	['PKMYT1', 'MCM6', 'CDKN2B', 'CDC25B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CCNB2', 'RBX1', 'CDKN2D', 'CDC6', 'BTRC', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'EP300', 'CCND2', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'MCM2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'ORC4', 'CCND1', 'ORC2']
3	REAC	REAC:R-HSA-69242	S Phase	1.3225605237403938e-57	True	S Phase	162	102	42	17376	0.4117647058823529	0.2592592592592592	query_1	['REAC:R-HSA-69278']	['MCM6', 'CDC25B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNA1', 'CDK7', 'MAX', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDT1', 'RBX1', 'CDC6', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'CCNH', 'SKP1', 'ORC3', 'E2F1', 'MCM4', 'MNAT1', 'CDK2', 'ORC1', 'MCM2', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TFDP2', 'ORC4', 'CCND1', 'ORC2']
4	REAC	REAC:R-HSA-1640170	Cell Cycle	3.142011365962364e-56	True	Cell Cycle	673	102	60	17376	0.5882352941176471	0.0891530460624071	query_1	['REAC:0000000']	['PKMYT1', 'MCM6', 'CDKN2B', 'CDC25B', 'AKT1', 'MYC', 'CKS1B', 'GMNN', 'MCM7', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'HDAC1', 'CCNE1', 'CDT1', 'CCNB2', 'RBX1', 'CDKN2D', 'CDC6', 'BTRC', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'E2F2', 'CCNH', 'SKP1', 'E2F6', 'ORC3', 'EP300', 'CCND2', 'E2F1', 'MCM4', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'MCM2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'CDK6', 'ORC4', 'CCND1', 'ORC2']
5	REAC	REAC:R-HSA-69231	Cyclin D associated events in G1	8.108731985258742e-56	True	Cyclin D associated events in G1	46	102	30	17376	0.2941176470588235	0.6521739130434783	query_1	['REAC:R-HSA-69236']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F5', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2A', 'CDKN2C', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
6	REAC	REAC:R-HSA-69236	G1 Phase	8.108731985258742e-56	True	G1 Phase	46	102	30	17376	0.2941176470588235	0.6521739130434783	query_1	['REAC:R-HSA-453279']	['CDKN2B', 'CKS1B', 'E2F4', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'CDKN2D', 'CDKN1A', 'E2F5', 'E2F2', 'CCNH', 'SKP1', 'CCND2', 'E2F1', 'MNAT1', 'CDKN2A', 'CDKN2C', 'CDK2', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TFDP2', 'CDK6', 'CCND1']
7	GO:CC	GO:0005654	nucleoplasm	2.526953718891317e-53	True	"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]"	3986	102	97	17376	0.9509803921568628	0.0243351731058705	query_1	['GO:0031981', 'GO:0110165']	['CUL3', 'PKMYT1', 'MCM6', 'CDC25B', 'BMI1', 'AKT1', 'CUL4B', 'MYC', 'DDB2', 'CREBBP', 'CKS1B', 'GMNN', 'CDK5', 'EHMT2', 'MCM7', 'CBX3', 'E2F4', 'VCP', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'DDB1', 'CDT1', 'RBX1', 'CDKN2D', 'PCGF6', 'UBD', 'CDC6', 'BTRC', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'USP24', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'NEDD8', 'SMAD4', 'E2F6', 'ORC3', 'EP300', 'UFD1', 'CCND2', 'E2F1', 'ERCC6', 'MGA', 'EHMT1', 'MCM4', 'MNAT1', 'CDK1', 'CAND1', 'CDKN2A', 'CDK2', 'ORC1', 'SP1', 'MCM2', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'ERCC8', 'FOXO1', 'COPS5', 'CCND3', 'SKP2', 'L3MBTL2', 'NPLOC4', 'CDK4', 'RNF2', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CUL4A', 'NUB1', 'CDK6', 'ORC4', 'CCND1', 'ORC2', 'PHC3']
8	GO:CC	GO:0031981	nuclear lumen	4.28503616357435e-50	True	"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]"	4336	102	97	17376	0.9509803921568628	0.022370848708487	query_1	['GO:0005634', 'GO:0070013']	['CUL3', 'PKMYT1', 'MCM6', 'CDC25B', 'BMI1', 'AKT1', 'CUL4B', 'MYC', 'DDB2', 'CREBBP', 'CKS1B', 'GMNN', 'CDK5', 'EHMT2', 'MCM7', 'CBX3', 'E2F4', 'VCP', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'DDB1', 'CDT1', 'RBX1', 'CDKN2D', 'PCGF6', 'UBD', 'CDC6', 'BTRC', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'USP24', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'NEDD8', 'SMAD4', 'E2F6', 'ORC3', 'EP300', 'UFD1', 'CCND2', 'E2F1', 'ERCC6', 'MGA', 'EHMT1', 'MCM4', 'MNAT1', 'CDK1', 'CAND1', 'CDKN2A', 'CDK2', 'ORC1', 'SP1', 'MCM2', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'ERCC8', 'FOXO1', 'COPS5', 'CCND3', 'SKP2', 'L3MBTL2', 'NPLOC4', 'CDK4', 'RNF2', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CUL4A', 'NUB1', 'CDK6', 'ORC4', 'CCND1', 'ORC2', 'PHC3']
9	REAC	REAC:R-HSA-212436	Generic Transcription Pathway	1.5745866719995218e-46	True	Generic Transcription Pathway	1151	102	63	17376	0.6176470588235294	0.0547350130321459	query_1	['REAC:R-HSA-73857']	['CDKN2B', 'BMI1', 'AKT1', 'MYC', 'DDB2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'RBX1', 'PCGF6', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CDK6', 'CCND1', 'PHC3']
10	GO:BP	GO:0044772	mitotic cell cycle phase transition	3.817913310233089e-44	True	"""The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase."" [GOC:mtg_cell_cycle]"	446	102	47	17376	0.4607843137254901	0.1053811659192825	query_1	['GO:0044770', 'GO:1903047']	['CUL3', 'PKMYT1', 'CDKN2B', 'CDC25B', 'AKT1', 'CUL4B', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'DDB1', 'CDT1', 'CCNB2', 'CDKN2D', 'UBD', 'CDC6', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'CCND2', 'E2F1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CUL4A', 'CDK6', 'CCND1']
11	REAC	REAC:R-HSA-73857	RNA Polymerase II Transcription	6.742936705850947e-44	True	RNA Polymerase II Transcription	1272	102	63	17376	0.6176470588235294	0.0495283018867924	query_1	['REAC:R-HSA-74160']	['CDKN2B', 'BMI1', 'AKT1', 'MYC', 'DDB2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'RBX1', 'PCGF6', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'MGA', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CDK6', 'CCND1', 'PHC3']
12	REAC	REAC:R-HSA-74160	Gene expression (Transcription)	1.5094512904662904e-42	True	Gene expression (Transcription)	1407	102	64	17376	0.6274509803921569	0.0454868514570007	query_1	['REAC:0000000']	['CDKN2B', 'BMI1', 'AKT1', 'MYC', 'DDB2', 'CREBBP', 'CDK5', 'EHMT2', 'CBX3', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'RBX1', 'PCGF6', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'CCNA2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'SMAD4', 'E2F6', 'EP300', 'CCND2', 'E2F1', 'ERCC6', 'MGA', 'EHMT1', 'MNAT1', 'CDK1', 'CDKN2A', 'CDK2', 'SP1', 'PCGF2', 'YAF2', 'ESR1', 'FOXO1', 'CCND3', 'SKP2', 'L3MBTL2', 'CDK4', 'RNF2', 'CDKN1B', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CDK6', 'CCND1', 'PHC3']
13	GO:BP	GO:0044770	cell cycle phase transition	1.219806031524234e-41	True	"""The cell cycle process by which a cell commits to entering the next cell cycle phase."" [GOC:mtg_cell_cycle]"	548	102	48	17376	0.4705882352941176	0.0875912408759124	query_1	['GO:0022402']	['CUL3', 'PKMYT1', 'CDKN2B', 'CDC25B', 'AKT1', 'CUL4B', 'MYC', 'CKS1B', 'CDK5', 'E2F4', 'CCNB1', 'CCNA1', 'CDK7', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RB1', 'CCNE1', 'DDB1', 'CDT1', 'CCNB2', 'CDKN2D', 'UBD', 'CDC6', 'CDKN1A', 'CCNA2', 'E2F2', 'CCNH', 'E2F6', 'CCND2', 'E2F1', 'ERCC6', 'MNAT1', 'CDK1', 'CDKN2A', 'CDKN2C', 'CDK2', 'ORC1', 'CCND3', 'SKP2', 'CDK4', 'CDKN1B', 'CUL1', 'TP53', 'CUL4A', 'CDK6', 'CCND1']
14	GO:CC	GO:0070013	intracellular organelle lumen	2.726437758338229e-41	True	"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]"	5406	102	97	17376	0.9509803921568628	0.0179430262671106	query_1	['GO:0043229', 'GO:0043233']	['CUL3', 'PKMYT1', 'MCM6', 'CDC25B', 'BMI1', 'AKT1', 'CUL4B', 'MYC', 'DDB2', 'CREBBP', 'CKS1B', 'GMNN', 'CDK5', 'EHMT2', 'MCM7', 'CBX3', 'E2F4', 'VCP', 'CCNB1', 'CCNA1', 'CDK7', 'MAX', 'RBL1', 'CCNE2', 'RBL2', 'TFDP1', 'RING1', 'RB1', 'HDAC1', 'PHC1', 'CCNE1', 'DDB1', 'CDT1', 'RBX1', 'CDKN2D', 'PCGF6', 'UBD', 'CDC6', 'BTRC', 'CDK5R1', 'PCNA', 'CDKN1A', 'E2F5', 'ORC5', 'CCNA2', 'USP24', 'E2F2', 'CCNH', 'SMAD2', 'SKP1', 'RYBP', 'NEDD8', 'SMAD4', 'E2F6', 'ORC3', 'EP300', 'UFD1', 'CCND2', 'E2F1', 'ERCC6', 'MGA', 'EHMT1', 'MCM4', 'MNAT1', 'CDK1', 'CAND1', 'CDKN2A', 'CDK2', 'ORC1', 'SP1', 'MCM2', 'PCGF2', 'YAF2', 'UBE2W', 'ESR1', 'ERCC8', 'FOXO1', 'COPS5', 'CCND3', 'SKP2', 'L3MBTL2', 'NPLOC4', 'CDK4', 'RNF2', 'CDKN1B', 'ORC6', 'CUL1', 'TP53', 'TFDP2', 'SMAD3', 'CUL4A', 'NUB1', 'CDK6', 'ORC4', 'CCND1', 'ORC2', 'PHC3']
