Laron syndrome	source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections
0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	3.604049440878437e-30	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	279	98	33	15719	0.336734693877551	0.1182795698924731	query_1	['GO:0035556']	['SHARPIN', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'DDRGK1', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'RELB', 'REL', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'BCL10']
1	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	1.2679264768083909e-27	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	248	98	30	15719	0.3061224489795918	0.1209677419354838	query_1	['GO:0007249', 'GO:1902531']	['SHARPIN', 'NFKBIB', 'MAP3K14', 'TRAF3', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'UFL1', 'RBCK1', 'BTRC', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'BCL10']
2	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	2.5287639175752758e-27	True	Toll Like Receptor 3 (TLR3) Cascade	100	92	25	10022	0.2717391304347826	0.25	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
1	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	2.5287639175752758e-27	True	TRIF(TICAM1)-mediated TLR4 signaling 	104	92	25	10022	0.2717391304347826	0.2403846153846154	query_1	['REAC:R-HSA-166166']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
0	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	2.5287639175752758e-27	True	MyD88-independent TLR4 cascade 	104	92	25	10022	0.2717391304347826	0.2403846153846154	query_1	['REAC:R-HSA-166016']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
2	GO:BP	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB signaling	2.8921176620064086e-25	True	"""Any process that activates or increases the frequency, rate or extent of I-kappaB kinase/NF-kappaB signaling."" [GOC:jl]"	187	98	26	15719	0.2653061224489796	0.1390374331550802	query_1	['GO:0007249', 'GO:0043122', 'GO:1902533']	['SHARPIN', 'MAP3K14', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'TNIP2', 'RIPK1', 'CFLAR', 'TRADD', 'MALT1', 'IKBKG', 'BIRC3', 'TRAF2', 'MAP3K7', 'REL', 'TRAF6', 'BIRC2', 'CASP8', 'BCL10']
3	REAC	REAC:R-HSA-75893	TNF signaling	1.4060328357688594e-24	True	TNF signaling	42	92	18	10022	0.1956521739130435	0.4285714285714285	query_1	['REAC:R-HSA-73887']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FADD', 'RIPK1', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'BIRC2', 'CASP8']
4	REAC	REAC:R-HSA-73887	Death Receptor Signaling	3.2739425982341407e-24	True	Death Receptor Signaling	138	92	25	10022	0.2717391304347826	0.181159420289855	query_1	['REAC:R-HSA-162582']	['SHARPIN', 'CASP10', 'CHUK', 'TNFRSF1A', 'TAB2', 'RELA', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'FAS', 'FADD', 'NFKB1', 'RIPK1', 'CFLAR', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8']
5	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	3.99722591539302e-24	True	Toll Like Receptor 4 (TLR4) Cascade	140	92	25	10022	0.2717391304347826	0.1785714285714285	query_1	['REAC:R-HSA-168898']	['MAP3K8', 'NFKBIB', 'TRAF3', 'CHUK', 'TAB2', 'RELA', 'IKBKB', 'BTRC', 'FADD', 'NFKB1', 'TNIP2', 'RIPK1', 'SKP1', 'NFKB2', 'FBXW11', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'TRAF6', 'BIRC2', 'NFKBIA', 'CASP8', 'CUL1']
6	REAC	REAC:R-HSA-5357956	TNFR1-induced NFkappaB signaling pathway	6.212738108847775e-24	True	TNFR1-induced NFkappaB signaling pathway	30	92	16	10022	0.1739130434782608	0.5333333333333333	query_1	['REAC:R-HSA-75893']	['SHARPIN', 'CHUK', 'TNFRSF1A', 'TAB2', 'IKBKB', 'RBCK1', 'TNF', 'RNF31', 'RIPK1', 'TRADD', 'IKBKG', 'TAB1', 'BIRC3', 'TRAF2', 'MAP3K7', 'BIRC2']
