Cluster	HPO ID	Phenotype	p-value	Corrected p-value
3	HP:0000889	Abnormal clavicle morphology	1.0	1.0
3	HP:0000691	Microdontia	0.13488215728655167	0.7329851097165597
3	HP:0002715	Abnormality of the immune system	0.3906344914327301	1.0
3	HP:0002232	Patchy alopecia	1.0	1.0
3	HP:0000586	Shallow orbits	1.0	1.0
3	HP:0008788	Delayed pubic bone ossification	1.0	1.0
3	HP:0001102	Angioid streaks of the fundus	1.0	1.0
3	HP:0004993	Slender long bones with narrow diaphyses	1.0	1.0
3	HP:0001831	Short toe	0.14780331339148206	0.7636504525226573
3	HP:0000268	Dolichocephaly	1.0	1.0
3	HP:0001869	Deep plantar creases	1.0	1.0
3	HP:0010526	Dysgraphia	1.0	1.0
3	HP:0004325	Decreased body weight	0.8422895319496382	1.0
3	HP:0005281	Hypoplastic nasal bridge	1.0	1.0
3	HP:0011834	Moyamoya phenomenon	1.0	1.0
3	HP:0002423	Long-tract signs	1.0	1.0
3	HP:0002313	Spastic paraparesis	1.0	1.0
3	HP:0006703	Aplasia/Hypoplasia of the lungs	1.0	1.0
3	HP:0001075	Atrophic scars	1.0	1.0
3	HP:0000995	Melanocytic nevus	1.0	1.0
3	HP:0002307	Drooling	1.0	1.0
3	HP:0006313	Widely spaced primary teeth	1.0	1.0
3	HP:0000528	Anophthalmia	1.0	1.0
3	HP:0001373	Joint dislocation	0.07454464365803812	0.5161365175104771
3	HP:0002652	Skeletal dysplasia	1.0	1.0
3	HP:0002027	Abdominal pain	0.4479420937919359	1.0
3	HP:0003006	Neuroblastoma	1.0	1.0
3	HP:0200042	Skin ulcer	1.0	1.0
3	HP:0000202	Orofacial cleft	0.24035166506729896	1.0
3	HP:0009381	Short finger	0.2977696875235659	1.0
3	HP:0002684	Thickened calvaria	0.04148778746709969	0.3650925297104773
3	HP:0001876	Pancytopenia	1.0	1.0
3	HP:0004302	Functional motor deficit	1.0	1.0
3	HP:0008551	Microtia	0.1749154643251224	0.8546541944372487
3	HP:0000735	Impaired social interactions	1.0	1.0
3	HP:0003326	Myalgia	1.0	1.0
3	HP:0000608	Macular degeneration	0.05764967882506038	0.44933806809932775
3	HP:0100659	Abnormal cerebral vascular morphology	1.0	1.0
3	HP:0003119	Abnormal circulating lipid concentration	1.0	1.0
3	HP:0002234	Early balding	1.0	1.0
3	HP:0004414	Abnormality of the pulmonary artery	1.0	1.0
3	HP:0010721	Abnormal hair whorl	1.0	1.0
3	HP:0010450	Esophageal stenosis	1.0	1.0
3	HP:0000457	Depressed nasal ridge	0.13673863334387676	0.7357446856525562
3	HP:0100633	Esophagitis	1.0	1.0
