Representing term id	Representing term name	Representing term size	Representing term rank	Represented term number	cluster_1 term rank	cluster_2 term rank	cluster_3 term rank	cluster_4 term rank	cluster_5 term rank	cluster_6 term rank
REAC:R-HSA-73894	DNA Repair	330	1	61	1	64	104	211	None	None
REAC:R-HSA-453279	Mitotic G1 phase and G1/S transition	147	1	15	34	1	4	None	None	None
REAC:R-HSA-74160	Gene expression (Transcription)	1476	1	105	35	3	1	89	251	7
REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	132	1	21	None	198	None	1	289	None
REAC:R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	502	1	82	None	97	118	168	1	44
REAC:R-HSA-9007101	Rab regulation of trafficking	120	1	3	None	None	None	155	None	1
REAC:R-HSA-216083	Integrin cell surface interactions	84	2	1	None	None	None	None	2	None
REAC:R-HSA-1640170	Cell Cycle	679	3	62	3	6	39	125	269	94
REAC:R-HSA-162582	Signal Transduction	2535	3	1	None	84	11	96	3	None
REAC:R-HSA-8873719	RAB geranylgeranylation	64	3	1	None	None	None	None	None	3
REAC:R-HSA-168898	Toll-like Receptor Cascades	154	4	16	None	None	None	4	206	None
REAC:R-HSA-1474244	Extracellular matrix organization	298	4	15	None	None	None	None	4	None
REAC:R-HSA-199991	Membrane Trafficking	624	4	10	None	197	None	None	217	4
REAC:R-HSA-9675108	Nervous system development	574	5	22	None	None	98	213	5	57
REAC:R-HSA-5653656	Vesicle-mediated transport	718	5	4	None	None	None	None	165	5
REAC:R-HSA-2644602	Signaling by NOTCH1 PEST Domain Mutants in Cancer	57	6	7	None	111	6	170	None	61
REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	55	6	4	None	None	None	6	None	None
REAC:R-HSA-109582	Hemostasis	672	9	15	None	108	272	None	9	104
REAC:R-HSA-205043	NRIF signals cell death from the nucleus	16	9	1	None	None	173	None	None	9
REAC:R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	417	10	35	159	88	14	114	10	None
REAC:R-HSA-193692	Regulated proteolysis of p75NTR	11	10	1	None	None	154	136	None	10
REAC:R-HSA-1980143	Signaling by NOTCH1	72	12	3	None	102	12	156	None	46
REAC:R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	36	12	1	None	None	89	None	None	12
REAC:R-HSA-1643685	Disease	1823	13	38	69	67	13	57	68	19
REAC:R-HSA-5684996	MAPK1/MAPK3 signaling	269	13	6	None	None	None	None	13	None
REAC:R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	16	13	1	None	None	None	None	None	13
REAC:R-HSA-9020702	Interleukin-1 signaling	101	15	1	None	229	None	15	None	None
REAC:R-HSA-181429	Serotonin Neurotransmitter Release Cycle	17	15	1	None	None	None	None	None	15
REAC:R-HSA-181430	Norepinephrine Neurotransmitter Release Cycle	17	16	1	None	None	None	None	None	16
REAC:R-HSA-2559583	Cellular Senescence	195	17	5	88	17	70	None	None	20
REAC:R-HSA-157118	Signaling by NOTCH	233	17	13	None	101	17	163	None	27
REAC:R-HSA-9603798	Class I peroxisomal membrane protein import	19	17	1	None	None	None	None	None	17
REAC:R-HSA-9024446	NR1H2 and NR1H3-mediated signaling	45	18	1	None	None	90	None	None	18
REAC:R-HSA-168249	Innate Immune System	1093	19	30	137	247	None	19	32	66
REAC:R-HSA-5683057	MAPK family signaling cascades	308	19	2	None	206	None	None	19	39
REAC:R-HSA-168256	Immune System	2041	20	1	None	None	None	20	74	None
REAC:R-HSA-2262752	Cellular responses to stress	777	21	16	122	21	112	100	256	None
REAC:R-HSA-446652	Interleukin-1 family signaling	139	21	2	None	200	None	21	287	None
REAC:R-HSA-212676	Dopamine Neurotransmitter Release Cycle	22	21	1	None	None	None	None	None	21
REAC:R-HSA-9006931	Signaling by Nuclear Receptors	291	22	5	None	134	22	162	160	49
REAC:R-HSA-73887	Death Receptor Signaling	140	22	14	None	None	220	22	297	31
REAC:R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	92	22	1	None	None	None	178	22	None
REAC:R-HSA-210500	Glutamate Neurotransmitter Release Cycle	23	22	1	None	None	None	None	None	22
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	704	23	20	None	146	259	23	34	76
REAC:R-HSA-194315	Signaling by Rho GTPases	702	23	20	None	103	None	130	23	45
REAC:R-HSA-4086398	Ca2+ pathway	59	24	1	None	None	None	None	None	24
REAC:R-HSA-8953897	Cellular responses to stimuli	791	26	1	125	26	134	141	None	None
REAC:R-HSA-9006936	Signaling by TGFB family members	116	26	7	None	52	26	None	60	None
REAC:R-HSA-392499	Metabolism of proteins	1944	26	33	87	43	28	92	153	26
REAC:R-HSA-1266738	Developmental Biology	1116	29	11	None	123	29	223	66	None
REAC:R-HSA-888590	GABA synthesis, release, reuptake and degradation	18	29	1	None	None	None	None	None	29
REAC:R-HSA-1369062	ABC transporters in lipid homeostasis	18	30	1	None	None	None	None	None	30
REAC:R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	717	31	1	None	None	None	None	31	None
REAC:R-HSA-5357801	Programmed Cell Death	205	32	15	None	131	234	32	76	None
REAC:R-HSA-199418	Negative regulation of the PI3K/AKT network	99	33	1	None	None	None	187	33	None
REAC:R-HSA-69306	DNA Replication	188	34	4	64	34	None	None	None	None
REAC:R-HSA-9006335	Signaling by Erythropoietin	23	36	3	None	None	None	None	36	None
REAC:R-HSA-8943724	Regulation of PTEN gene transcription	59	38	1	None	38	159	None	None	None
REAC:R-HSA-9609507	Protein localization	158	41	3	172	None	None	None	None	41
REAC:R-HSA-1500931	Cell-Cell communication	127	42	7	None	None	136	202	42	None
REAC:R-HSA-112310	Neurotransmitter release cycle	50	43	1	None	None	None	None	None	43
REAC:R-HSA-1169091	Activation of NF-kappaB in B cells	67	44	1	None	259	None	44	None	None
REAC:R-HSA-400206	Regulation of lipid metabolism by PPARalpha	114	46	2	None	None	46	None	None	None
REAC:R-HSA-202403	TCR signaling	120	48	3	None	None	None	48	112	None
REAC:R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	80	50	1	None	None	None	50	None	None
REAC:R-HSA-6807070	PTEN Regulation	138	56	2	123	60	188	None	None	56
REAC:R-HSA-1257604	PIP3 activates AKT signaling	252	57	2	115	57	141	118	83	80
REAC:R-HSA-3858494	Beta-catenin independent WNT signaling	143	58	1	None	None	None	None	None	58
REAC:R-HSA-1660499	Synthesis of PIPs at the plasma membrane	52	59	1	None	None	None	None	211	59
REAC:R-HSA-4839726	Chromatin organization	273	63	5	None	63	72	None	None	None
REAC:R-HSA-983705	Signaling by the B Cell Receptor (BCR)	163	64	2	None	None	None	64	78	None
REAC:R-HSA-9006925	Intracellular signaling by second messengers	292	68	1	124	68	163	164	103	89
REAC:R-HSA-1474165	Reproduction	143	70	1	70	None	None	None	None	None
REAC:R-HSA-1483255	PI Metabolism	83	73	1	None	None	None	None	265	73
REAC:R-HSA-6794362	Protein-protein interactions at synapses	86	74	3	None	None	None	None	207	74
REAC:R-HSA-1280218	Adaptive Immune System	809	81	11	None	None	None	81	84	None
REAC:R-HSA-8868766	rRNA processing in the mitochondrion	10	83	1	None	None	None	None	None	83
REAC:R-HSA-9662360	Sensory processing of sound by inner hair cells of the cochlea	66	85	1	None	None	None	None	None	85
REAC:R-HSA-8949613	Cristae formation	31	86	1	86	None	None	None	None	None
REAC:R-HSA-382556	ABC-family proteins mediated transport	103	86	1	None	None	None	None	None	86
REAC:R-HSA-2046104	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	12	87	2	None	None	None	None	None	87
REAC:R-HSA-1483257	Phospholipid metabolism	210	96	1	None	None	None	None	None	96
REAC:R-HSA-9659379	Sensory processing of sound	74	98	1	None	None	None	None	None	98
REAC:R-HSA-422356	Regulation of insulin secretion	78	102	1	None	None	None	None	None	102
REAC:R-HSA-201681	TCF dependent signaling in response to WNT	232	106	5	106	124	242	None	None	None
REAC:R-HSA-1592230	Mitochondrial biogenesis	92	108	2	108	None	170	None	None	None
REAC:R-HSA-400253	Circadian Clock	67	111	3	None	217	111	192	None	None
