source	native	name	Corrected p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
REAC	REAC:R-HSA-9007101	Rab regulation of trafficking	4.1638964737870604e-44	True	Rab regulation of trafficking	119	124	39	10022	0.314516129032258	0.3277310924369748	query_1	['REAC:R-HSA-199991']	['GDI2', 'RAB38', 'GGA1', 'RAB8A', 'RAB14', 'RAB32', 'RAB18', 'RAB39A', 'RAB3A', 'CHML', 'RAB35', 'CHM', 'RAB1B', 'RAB5B', 'RAB3IP', 'RAB5C', 'RABEP1', 'RAB4A', 'RAB7A', 'GGA3', 'HPS1', 'GDI1', 'RAB8B', 'YWHAE', 'RAB3GAP2', 'HPS4', 'TBC1D17', 'RAB5A', 'RAB1A', 'RAB3IL1', 'RABGEF1', 'RAB31', 'RIN3', 'GGA2', 'RAB3GAP1', 'RAB13', 'RAB10', 'OPTN', 'RAB6A']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
REAC	REAC:R-HSA-8876198	RAB GEFs exchange GTP for GDP on RABs	9.194685693411516e-38	True	RAB GEFs exchange GTP for GDP on RABs	87	124	32	10022	0.2580645161290322	0.367816091954023	query_1	['REAC:R-HSA-9007101']	['GDI2', 'RAB38', 'RAB8A', 'RAB14', 'RAB32', 'RAB18', 'RAB39A', 'RAB3A', 'CHML', 'RAB35', 'CHM', 'RAB1B', 'RAB5B', 'RAB3IP', 'RAB5C', 'RAB7A', 'HPS1', 'GDI1', 'RAB8B', 'YWHAE', 'RAB3GAP2', 'HPS4', 'RAB5A', 'RAB1A', 'RAB3IL1', 'RABGEF1', 'RAB31', 'RIN3', 'RAB3GAP1', 'RAB13', 'RAB10', 'RAB6A']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
REAC	REAC:R-HSA-8873719	RAB geranylgeranylation	9.044278770867772e-36	True	RAB geranylgeranylation	63	124	28	10022	0.2258064516129032	0.4444444444444444	query_1	['REAC:R-HSA-597592']	['RAB38', 'RAB8A', 'RAB14', 'RAB32', 'RAB18', 'RAB39A', 'RAB3A', 'CHML', 'RAB35', 'CHM', 'RAB1B', 'RAB5B', 'PTP4A2', 'RAB5C', 'RAB4A', 'RAB7A', 'RAB23', 'RAB8B', 'RABGGTB', 'RAB5A', 'RAB1A', 'RAB22A', 'RABGGTA', 'RAB31', 'RAB13', 'RAB10', 'RAB6A', 'RAB34']	[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]
GO:CC	GO:0005768	endosome	3.3507296896563973e-25	True	"""A vacuole to which materials ingested by endocytosis are delivered."" [ISBN:0198506732, PMID:19696797]"	989	141	52	16420	0.3687943262411347	0.0525783619817998	query_1	['GO:0012505', 'GO:0031410']	['RUFY1', 'RAB38', 'GGA1', 'RAB8A', 'RAB14', 'RAB32', 'NCSTN', 'RILP', 'HTT', 'RBSN', 'RAB3A', 'OSBPL1A', 'SUN2', 'PSEN1', 'RAB35', 'APH1B', 'TMEM9', 'NGF', 'BACE1', 'EHD1', 'RAB5B', 'NGFR', 'APP', 'PTP4A2', 'RAB5C', 'RABEP1', 'PSENEN', 'RAB4A', 'RAB7A', 'GGA3', 'EHD2', 'RAB23', 'RAB8B', 'VPS45', 'TBC1D17', 'RAB5A', 'RAB1A', 'MICALL1', 'NTRK1', 'EEA1', 'RABGEF1', 'RAB22A', 'APH1A', 'RAB31', 'RIN3', 'GGA2', 'SLC39A4', 'RAB13', 'RAB10', 'OPTN', 'EHD3', 'SORT1']	[['IDA', 'TAS', 'IEA'], ['IDA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA'], ['TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'TAS'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA']]
GO:CC	GO:0030659	cytoplasmic vesicle membrane	4.732820837715062e-25	True	"""The lipid bilayer surrounding a cytoplasmic vesicle."" [GOC:mah]"	1158	141	55	16420	0.3900709219858156	0.0474956822107081	query_1	['GO:0012506', 'GO:0031410']	['RUFY1', 'RAB38', 'GGA1', 'RAB8A', 'RAB14', 'RAB32', 'NCSTN', 'RAB18', 'RILP', 'RAB39A', 'HTT', 'RBSN', 'RAB3A', 'SUN2', 'SLC27A2', 'PSEN1', 'RAB35', 'APH1B', 'TMEM9', 'BACE1', 'EHD1', 'SNAP25', 'RAB5B', 'RHOG', 'VAMP2', 'RAB5C', 'RABEP1', 'PSENEN', 'RAB4A', 'RAB7A', 'GGA3', 'EHD2', 'RAB23', 'STX1A', 'RAB8B', 'VPS45', 'SYT1', 'RAB5A', 'RAB1A', 'MICALL1', 'NTRK1', 'EEA1', 'RABGEF1', 'RAB22A', 'APH1A', 'RAB31', 'GGA2', 'SLC39A4', 'RAB13', 'RAB10', 'OPTN', 'RAB6A', 'RAB34', 'EHD3', 'SORT1']	[['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IEA'], ['IEA'], ['IDA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['TAS'], ['TAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['TAS', 'IEA'], ['TAS'], ['ISS', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['TAS'], ['ISS', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA'], ['TAS'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA']]
GO:CC	GO:0010008	endosome membrane	4.98206347379974e-25	True	"""The lipid bilayer surrounding an endosome."" [GOC:mah]"	522	141	40	16420	0.2836879432624113	0.0766283524904214	query_1	['GO:0005768', 'GO:0030659', 'GO:0098588']	['RUFY1', 'GGA1', 'RAB8A', 'RAB14', 'NCSTN', 'RILP', 'RBSN', 'SUN2', 'PSEN1', 'RAB35', 'APH1B', 'TMEM9', 'BACE1', 'EHD1', 'RAB5B', 'RAB5C', 'RABEP1', 'PSENEN', 'RAB4A', 'RAB7A', 'GGA3', 'EHD2', 'RAB23', 'RAB8B', 'VPS45', 'RAB5A', 'MICALL1', 'NTRK1', 'EEA1', 'RABGEF1', 'RAB22A', 'APH1A', 'RAB31', 'GGA2', 'SLC39A4', 'RAB13', 'RAB10', 'OPTN', 'EHD3', 'SORT1']	[['TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IEA'], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IEA'], ['TAS'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['TAS'], ['TAS'], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA']]
GO:CC	GO:0012506	vesicle membrane	5.105894531185677e-25	True	"""The lipid bilayer surrounding any membrane-bounded vesicle in the cell."" [GOC:mah, GOC:vesicle]"	1176	141	55	16420	0.3900709219858156	0.0467687074829932	query_1	['GO:0031090', 'GO:0031982']	['RUFY1', 'RAB38', 'GGA1', 'RAB8A', 'RAB14', 'RAB32', 'NCSTN', 'RAB18', 'RILP', 'RAB39A', 'HTT', 'RBSN', 'RAB3A', 'SUN2', 'SLC27A2', 'PSEN1', 'RAB35', 'APH1B', 'TMEM9', 'BACE1', 'EHD1', 'SNAP25', 'RAB5B', 'RHOG', 'VAMP2', 'RAB5C', 'RABEP1', 'PSENEN', 'RAB4A', 'RAB7A', 'GGA3', 'EHD2', 'RAB23', 'STX1A', 'RAB8B', 'VPS45', 'SYT1', 'RAB5A', 'RAB1A', 'MICALL1', 'NTRK1', 'EEA1', 'RABGEF1', 'RAB22A', 'APH1A', 'RAB31', 'GGA2', 'SLC39A4', 'RAB13', 'RAB10', 'OPTN', 'RAB6A', 'RAB34', 'EHD3', 'SORT1']	[['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IEA'], ['IEA'], ['IDA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IEA'], ['TAS'], ['TAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['TAS', 'IEA'], ['TAS'], ['ISS', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['TAS'], ['IEA'], ['TAS'], ['ISS', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA'], ['TAS'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA']]
GO:CC	GO:0031410	cytoplasmic vesicle	2.217865800593585e-24	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2393	141	74	16420	0.524822695035461	0.0309235269536147	query_1	['GO:0005737', 'GO:0097708']	['RUFY1', 'GDI2', 'RAB38', 'GGA1', 'RHOH', 'RAB8A', 'RAB14', 'RAB32', 'NCSTN', 'RAB18', 'RILP', 'RAB39A', 'HTT', 'RBSN', 'RAB3A', 'OSBPL1A', 'SUN2', 'PPFIA3', 'SLC27A2', 'ARHGDIG', 'PSEN1', 'RAB35', 'APH1B', 'TMEM9', 'NGF', 'BACE1', 'EHD1', 'RAB1B', 'SNAP25', 'RAB5B', 'NGFR', 'RHOG', 'ARHGDIB', 'APP', 'PTP4A2', 'VAMP2', 'RAB3IP', 'RAB5C', 'RABEP1', 'PSENEN', 'RAB4A', 'RAB7A', 'STXBP1', 'GGA3', 'EHD2', 'RAB23', 'HPS1', 'STX1A', 'RAB8B', 'YWHAE', 'VPS45', 'HPS4', 'TBC1D17', 'SYT1', 'RAB5A', 'RAB1A', 'MICALL1', 'RAB3IL1', 'NTRK1', 'EEA1', 'RABGEF1', 'RAB22A', 'APH1A', 'RAB31', 'RIN3', 'GGA2', 'SLC39A4', 'RAB13', 'RAB10', 'OPTN', 'RAB6A', 'RAB34', 'EHD3', 'SORT1']	[['IDA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['TAS'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IBA', 'TAS'], ['TAS'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IBA'], ['ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA']]
GO:CC	GO:0097708	intracellular vesicle	2.217865800593585e-24	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2395	141	74	16420	0.524822695035461	0.0308977035490605	query_1	['GO:0031982', 'GO:0043231']	['RUFY1', 'GDI2', 'RAB38', 'GGA1', 'RHOH', 'RAB8A', 'RAB14', 'RAB32', 'NCSTN', 'RAB18', 'RILP', 'RAB39A', 'HTT', 'RBSN', 'RAB3A', 'OSBPL1A', 'SUN2', 'PPFIA3', 'SLC27A2', 'ARHGDIG', 'PSEN1', 'RAB35', 'APH1B', 'TMEM9', 'NGF', 'BACE1', 'EHD1', 'RAB1B', 'SNAP25', 'RAB5B', 'NGFR', 'RHOG', 'ARHGDIB', 'APP', 'PTP4A2', 'VAMP2', 'RAB3IP', 'RAB5C', 'RABEP1', 'PSENEN', 'RAB4A', 'RAB7A', 'STXBP1', 'GGA3', 'EHD2', 'RAB23', 'HPS1', 'STX1A', 'RAB8B', 'YWHAE', 'VPS45', 'HPS4', 'TBC1D17', 'SYT1', 'RAB5A', 'RAB1A', 'MICALL1', 'RAB3IL1', 'NTRK1', 'EEA1', 'RABGEF1', 'RAB22A', 'APH1A', 'RAB31', 'RIN3', 'GGA2', 'SLC39A4', 'RAB13', 'RAB10', 'OPTN', 'RAB6A', 'RAB34', 'EHD3', 'SORT1']	[['IDA', 'TAS', 'IEA'], ['TAS'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['TAS'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'TAS'], ['IDA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IBA', 'TAS'], ['TAS'], ['IDA', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IBA'], ['ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['TAS', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA']]
GO:BP	GO:0016192	vesicle-mediated transport	5.927011459997161e-23	True	"""A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."" [GOC:ai, GOC:mah, ISBN:08789310662000]"	1517	142	62	15719	0.4366197183098591	0.040870138431114	query_1	['GO:0006810']	['RUFY1', 'GDI2', 'RAB38', 'GGA1', 'RHOH', 'RAB8A', 'RAB14', 'RAB32', 'RILP', 'RAB39A', 'HTT', 'RBSN', 'RAB3A', 'OSBPL1A', 'CHML', 'PPFIA3', 'PSEN1', 'HMMR', 'RAB35', 'EHD1', 'CHM', 'RAB1B', 'SNAP25', 'RAB5B', 'RHOG', 'APP', 'VAMP2', 'RAB3IP', 'RAB5C', 'ARHGDIA', 'RABEP1', 'RAB4A', 'RAB7A', 'STXBP1', 'GGA3', 'EHD2', 'HPS1', 'STX1A', 'GDI1', 'RAB8B', 'VPS45', 'HPS4', 'TBC1D17', 'SYT1', 'RAB5A', 'RAB1A', 'MICALL1', 'RAB3IL1', 'EEA1', 'RABGEF1', 'RAB22A', 'RAB31', 'RIN3', 'GGA2', 'RAB3GAP1', 'RAB13', 'RAB10', 'OPTN', 'RAB6A', 'RAB34', 'EHD3', 'SORT1']	[['IPI', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IBA'], ['IMP', 'IBA'], ['IMP'], ['IMP', 'NAS'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['NAS'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA'], ['IMP', 'IGI', 'ISS', 'IBA', 'IEA'], ['IBA'], ['IGI'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IBA'], ['ISS', 'IEA'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS'], ['IMP', 'IBA'], ['IEA'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA', 'TAS'], ['IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IGI', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IBA'], ['IBA'], ['IBA', 'IEA'], ['IEA'], ['IMP'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IGI', 'IBA', 'TAS', 'IEA'], ['IMP', 'IGI', 'TAS', 'IEA'], ['IMP', 'IEA'], ['IBA'], ['IMP', 'IBA', 'TAS', 'NAS'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA'], ['IMP', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['ISS'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA']]
