Cluster	HPO ID	Phenotype	p-value	Corrected p-value	Nb diseases cluster	Nb diseases pheno	intersection	background	diseases intersection
1	HP:0007495	Prematurely aged appearance	7.382377697925033e-25	1.0069563179969744e-21	14	87	14	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0002216	Premature graying of hair	3.1872781541608423e-13	2.1737237011376942e-10	14	25	7	4262	{'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0011354	Generalized abnormality of skin	1.3076565345077711e-11	5.9454783768953325e-09	14	717	14	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Ataxia-telangiectasia', 'Seckel syndrome', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome', 'Dyskeratosis congenita'}
1	HP:0008065	Aplasia/Hypoplasia of the skin	1.2695878191882148e-10	4.329294463431813e-08	14	152	9	4262	{'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Ataxia-telangiectasia', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0005328	Progeroid facial appearance	1.0374097215543963e-09	2.8300537204003934e-07	14	17	5	4262	{'Cockayne syndrome type 1', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0010766	Ectopic calcification	1.271846968584596e-08	2.891332108582315e-06	14	169	8	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Werner syndrome', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0002634	Arteriosclerosis	1.8387907580494386e-08	3.583015134256334e-06	14	61	6	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Xeroderma pigmentosum-Cockayne syndrome complex', 'Werner syndrome'}
1	HP:0009771	Osteolytic defects of the phalanges of the hand	2.374640876030284e-08	4.0487626936316335e-06	14	11	4	4262	{'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Hutchinson-Gilford progeria syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy'}
1	HP:0000953	Hyperpigmentation of the skin	1.3049904650063238e-07	1.9777855491873617e-05	14	227	8	4262	{'Cockayne syndrome type 1', 'Hutchinson-Gilford progeria syndrome', 'Mandibuloacral dysplasia with type A lipodystrophy', 'Atypical Werner syndrome', 'Cockayne syndrome type 2', 'Ataxia-telangiectasia', 'Hoyeraal-Hreidarsson syndrome', 'Dyskeratosis congenita'}
1	HP:0002621	Atherosclerosis	6.539361994215691e-07	8.919689760110201e-05	14	57	5	4262	{'Hutchinson-Gilford progeria syndrome', 'LMNA-related cardiocutaneous progeria syndrome', 'Atypical Werner syndrome', 'Autosomal semi-dominant severe lipodystrophic laminopathy', 'Werner syndrome'}
