	Unnamed: 0	source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	seeds	diseases
0	0	GO:BP	GO:0007249	I-kappaB kinase/NF-kappaB signaling	1.806134774403413e-63	True	"""The process in which a signal is passed on to downstream components within the cell through the I-kappaB-kinase (IKK)-dependent activation of NF-kappaB. The cascade begins with activation of a trimeric IKK complex (consisting of catalytic kinase subunits IKKalpha and/or IKKbeta, and the regulatory scaffold protein NEMO) and ends with the regulation of transcription of target genes by NF-kappaB. In a resting state, NF-kappaB dimers are bound to I-kappaB proteins, sequestering NF-kappaB in the cytoplasm. Phosphorylation of I-kappaB targets I-kappaB for ubiquitination and proteasomal degradation, thus releasing the NF-kappaB dimers, which can translocate to the nucleus to bind DNA and regulate transcription."" [GOC:bf, GOC:jl, PMID:12773372, Reactome:R-HSA-209560]"	279	136	57	17376	0.4191176470588235	0.2043010752688172	query_1	['GO:0035556']	['TAB2', 'CASP1', 'CASP10', 'IKBKG', 'BTRC', 'IRAK4', 'OPTN', 'CARD8', 'TAB3', 'UBE2V1', 'RBCK1', 'BIRC2', 'NFKBIB', 'REL', 'NFKBIA', 'FADD', 'TICAM2', 'TANK', 'MYD88', 'TBKBP1', 'MAP3K14', 'IKBKE', 'RNF31', 'MAP3K7', 'RIPK1', 'MALT1', 'TNIP1', 'BIRC3', 'IRAK2', 'TNFRSF1A', 'TRAF3', 'RELB', 'AZI2', 'SHARPIN', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'BCL10', 'CARD11', 'TRAF6', 'TNIP2', 'PYCARD', 'UBE2N', 'PELI1', 'LTBR', 'FASLG', 'TNFAIP3', 'TRADD', 'CFLAR', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'TNF', 'CASP8', 'AKT1']	0	0
1	1	REAC	REAC:R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	4.933898443783793e-57	True	Toll Like Receptor 4 (TLR4) Cascade	143	136	44	17376	0.3235294117647059	0.3076923076923077	query_1	['REAC:R-HSA-168898']	['FBXW11', 'TAB2', 'IKBKG', 'NFKB1', 'BTRC', 'IRAK4', 'TAB3', 'UBE2V1', 'BIRC2', 'NFKBIB', 'MAP3K8', 'CUL1', 'NFKBIA', 'FADD', 'TAB1', 'TICAM2', 'TANK', 'MYD88', 'IKBKE', 'MAP3K7', 'RIPK1', 'BIRC3', 'IRAK2', 'IRF7', 'TRAF3', 'IRAK3', 'SKP1', 'TP53', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'TRAF6', 'TNIP2', 'APP', 'UBE2N', 'PELI1', 'CD14', 'NFKB2', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'CASP8']	0	0
2	2	GO:BP	GO:0043122	regulation of I-kappaB kinase/NF-kappaB signaling	2.062264733678592e-56	True	"""Any process that modulates I-kappaB kinase/NF-kappaB signaling."" [GOC:jl, PMID:12773372]"	248	136	51	17376	0.375	0.2056451612903226	query_1	['GO:0007249', 'GO:1902531']	['TAB2', 'CASP1', 'CASP10', 'IKBKG', 'BTRC', 'IRAK4', 'OPTN', 'CARD8', 'TAB3', 'UBE2V1', 'RBCK1', 'BIRC2', 'NFKBIB', 'REL', 'FADD', 'TICAM2', 'TANK', 'MYD88', 'MAP3K14', 'IKBKE', 'RNF31', 'MAP3K7', 'RIPK1', 'MALT1', 'TNIP1', 'BIRC3', 'TNFRSF1A', 'TRAF3', 'SHARPIN', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'BCL10', 'CARD11', 'TRAF6', 'TNIP2', 'PYCARD', 'UBE2N', 'PELI1', 'LTBR', 'FASLG', 'TNFAIP3', 'TRADD', 'CFLAR', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'TNF', 'CASP8']	0	0
3	3	REAC	REAC:R-HSA-166166	MyD88-independent TLR4 cascade 	5.757836064776414e-56	True	MyD88-independent TLR4 cascade 	107	136	40	17376	0.2941176470588235	0.3738317757009345	query_1	['REAC:R-HSA-166016']	['FBXW11', 'TAB2', 'IKBKG', 'NFKB1', 'BTRC', 'TAB3', 'UBE2V1', 'BIRC2', 'NFKBIB', 'MAP3K8', 'CUL1', 'NFKBIA', 'FADD', 'TAB1', 'TICAM2', 'TANK', 'IKBKE', 'MAP3K7', 'RIPK1', 'BIRC3', 'IRAK2', 'IRF7', 'TRAF3', 'SKP1', 'TP53', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'TRAF6', 'TNIP2', 'APP', 'UBE2N', 'CD14', 'NFKB2', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'CASP8']	0	0
4	4	REAC	REAC:R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	5.757836064776414e-56	True	TRIF(TICAM1)-mediated TLR4 signaling 	107	136	40	17376	0.2941176470588235	0.3738317757009345	query_1	['REAC:R-HSA-166166']	['FBXW11', 'TAB2', 'IKBKG', 'NFKB1', 'BTRC', 'TAB3', 'UBE2V1', 'BIRC2', 'NFKBIB', 'MAP3K8', 'CUL1', 'NFKBIA', 'FADD', 'TAB1', 'TICAM2', 'TANK', 'IKBKE', 'MAP3K7', 'RIPK1', 'BIRC3', 'IRAK2', 'IRF7', 'TRAF3', 'SKP1', 'TP53', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'TRAF6', 'TNIP2', 'APP', 'UBE2N', 'CD14', 'NFKB2', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'CASP8']	0	0
5	5	REAC	REAC:R-HSA-168898	Toll-like Receptor Cascades	1.7836103353366282e-54	True	Toll-like Receptor Cascades	165	136	44	17376	0.3235294117647059	0.2666666666666666	query_1	['REAC:R-HSA-168249']	['FBXW11', 'TAB2', 'IKBKG', 'NFKB1', 'BTRC', 'IRAK4', 'TAB3', 'UBE2V1', 'BIRC2', 'NFKBIB', 'MAP3K8', 'CUL1', 'NFKBIA', 'FADD', 'TAB1', 'TICAM2', 'TANK', 'MYD88', 'IKBKE', 'MAP3K7', 'RIPK1', 'BIRC3', 'IRAK2', 'IRF7', 'TRAF3', 'IRAK3', 'SKP1', 'TP53', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'TRAF6', 'TNIP2', 'APP', 'UBE2N', 'PELI1', 'CD14', 'NFKB2', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'CASP8']	0	0
6	6	REAC	REAC:R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	6.104935564016115e-51	True	Toll Like Receptor 3 (TLR3) Cascade	103	136	37	17376	0.2720588235294117	0.3592233009708738	query_1	['REAC:R-HSA-168898']	['FBXW11', 'TAB2', 'IKBKG', 'NFKB1', 'BTRC', 'TAB3', 'UBE2V1', 'BIRC2', 'NFKBIB', 'MAP3K8', 'CUL1', 'NFKBIA', 'FADD', 'TAB1', 'TANK', 'IKBKE', 'MAP3K7', 'RIPK1', 'BIRC3', 'IRAK2', 'IRF7', 'TRAF3', 'SKP1', 'TP53', 'TRAF2', 'RELA', 'TICAM1', 'TBK1', 'TRAF6', 'TNIP2', 'APP', 'UBE2N', 'NFKB2', 'IRAK1', 'CHUK', 'IKBKB', 'CASP8']	0	0
7	7	REAC	REAC:R-HSA-168256	Immune System	2.8127572923414056e-49	True	Immune System	1957	136	89	17376	0.6544117647058824	0.0454777721001532	query_1	['REAC:0000000']	['FBXW7', 'RBX1', 'FBXW11', 'PSTPIP1', 'CUL3', 'TAB2', 'CASP1', 'PTPN22', 'CASP10', 'NFKBIE', 'HSP90AA1', 'IKBKG', 'NFKB1', 'TAX1BP1', 'BTRC', 'IRAK4', 'HSPA1A', 'TAB3', 'FYB1', 'UBE2V1', 'RBCK1', 'BIRC2', 'NFKBIB', 'REL', 'MAP3K8', 'NLRC4', 'BCL2L11', 'CUL1', 'NFKBIA', 'BCL2L1', 'FADD', 'TAB1', 'MCL1', 'TICAM2', 'TANK', 'FOXO3', 'MYD88', 'MAP3K14', 'IKBKE', 'MAP3K7', 'BCL2', 'RIPK1', 'MALT1', 'BIRC3', 'NLRP4', 'NLRP1', 'IRAK2', 'IRF7', 'TNFRSF1A', 'TRAF3', 'RELB', 'IRAK3', 'SKP1', 'TP53', 'LRSAM1', 'TRAF2', 'LTA', 'MEFV', 'RELA', 'TICAM1', 'TBK1', 'BCL10', 'CARD11', 'TRAF6', 'TNIP2', 'PYCARD', 'TNFRSF1B', 'APP', 'UBE2N', 'AIM2', 'PELI1', 'LTBR', 'CD14', 'FASLG', 'CREBBP', 'TNFSF14', 'CAND1', 'HSPA8', 'NFKB2', 'LTB', 'TNFAIP3', 'IRAK1', 'CHUK', 'HSP90AB1', 'TLR4', 'IKBKB', 'TNF', 'CASP8', 'AKT1']	['PTPN22']	['Vogt-Koyanagi-Harada disease']
8	8	REAC	REAC:R-HSA-168643	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	4.875185334888061e-48	True	Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	55	136	30	17376	0.2205882352941176	0.5454545454545454	query_1	['REAC:R-HSA-168249']	['PSTPIP1', 'TAB2', 'CASP1', 'IKBKG', 'NFKB1', 'TAB3', 'UBE2V1', 'BIRC2', 'NLRC4', 'BCL2L1', 'TAB1', 'MAP3K7', 'BCL2', 'BIRC3', 'NLRP1', 'IRAK2', 'MEFV', 'RELA', 'TRAF6', 'PYCARD', 'APP', 'UBE2N', 'AIM2', 'NFKB2', 'TNFAIP3', 'IRAK1', 'CHUK', 'HSP90AB1', 'IKBKB', 'CASP8']	0	0
9	9	REAC	REAC:R-HSA-975155	MyD88 dependent cascade initiated on endosome	2.165237761859074e-47	True	MyD88 dependent cascade initiated on endosome	102	136	35	17376	0.2573529411764705	0.3431372549019608	query_1	['REAC:R-HSA-168138', 'REAC:R-HSA-168181']	['FBXW11', 'TAB2', 'IKBKG', 'NFKB1', 'BTRC', 'IRAK4', 'TAB3', 'UBE2V1', 'NFKBIB', 'MAP3K8', 'CUL1', 'NFKBIA', 'TAB1', 'TICAM2', 'MYD88', 'MAP3K7', 'IRAK2', 'IRF7', 'SKP1', 'TP53', 'TRAF2', 'RELA', 'TICAM1', 'TRAF6', 'TNIP2', 'APP', 'UBE2N', 'PELI1', 'CD14', 'NFKB2', 'IRAK1', 'CHUK', 'TLR4', 'IKBKB', 'CASP8']	0	0
