Cluster,List of physio aging genes,Nb genes cluster,Nb genes in physio aging list,p-value,Corrected p-value,Background,Nb genes intersection,Intersection,Seeds
cluster_2,GenAge,155,107,1.0374559680995528e-11,1.141201564909508e-10,17582,13,"{'AKT1', 'ERCC8', 'TP53', 'CDK7', 'CDKN2B', 'CDKN1A', 'TFDP1', 'FOXO3', 'FOXO1', 'E2F1', 'RB1', 'MYC', 'CDKN2A'}","['GHR', 'TERT', 'ATM', 'ERCC2', 'ERCC8', 'WRN', 'LMNA', 'INSR', 'PTEN', 'ERCC1', 'ELN', 'ATR', 'STUB1']"
cluster_2,Blood up-reg. genes,155,80,0.03372001924189707,0.07418404233217356,17582,3,"{'DDB2', 'SYTL3', 'CDKN2A'}",[]
cluster_2,Blood down-reg. genes,155,199,0.525751828779887,0.7229087645723447,17582,2,"{'SUZ12', 'E2F5'}","['ATM', 'PYCR1']"
cluster_2,Skin up-reg. genes,155,1110,0.865242100421641,0.9517663104638051,17582,7,"{'NQO1', 'YAF2', 'FOXO3', 'KIF5B', 'FOXO1', 'ESR1', 'AR'}","['FBLN5', 'ELN', 'ZMPSTE24', 'ADAMTS2', 'GHR', 'EDN3', 'ALG8', 'ANTXR1', 'ENPP1', 'COL5A2']"
cluster_2,Skin down-reg. genes,155,754,0.9648073356514749,0.9648073356514749,17582,3,"{'CDKN2D', 'MCM7', 'KCTD15'}",['GJB6']
cluster_2,Brain up-reg. genes,155,544,0.205165931968079,0.32240360737840984,17582,7,"{'STAT3', 'CDK2', 'GMNN', 'RAB27A', 'CDKN1A', 'SMAD1', 'CDKN2A'}","['RBBP8', 'SLC2A1', 'RAB27A', 'ANTXR1']"
cluster_2,Brain down-reg. genes,155,536,0.020545689440209413,0.056500645960575885,17582,10,"{'OAZ2', 'KCTD1', 'MCM4', 'CDC6', 'CTNNB1', 'YAF2', 'CCND2', 'SMAD3', 'MYO5A', 'YY1'}","['MYO5A', 'SMARCA2']"
cluster_2,Muscle up-reg. genes,155,305,0.0003815539685855009,0.0020985468272202547,17582,10,"{'CREBBP', 'EPC1', 'CUL4A', 'SMAD4', 'YY1', 'FOXO3', 'FOXO1', 'EHMT1', 'CDKN1A', 'PHC3'}","['EIF4H', 'GHR', 'KRAS', 'PIK3R1']"
cluster_2,Muscle down-reg. genes,155,224,0.13635051049982197,0.2499759359163403,17582,4,"{'CDK2', 'AR', 'CDKN2C', 'CITED4'}",['MTX2']
cluster_2,Breast up-reg. genes,155,393,0.6768776713880784,0.8272949316965402,17582,3,"{'CDKN2A', 'MYO5A', 'CCNH'}","['KITLG', 'GHR', 'RAB3GAP1', 'MITF', 'MYO5A', 'MYO5A', 'ENPP1']"
cluster_2,Breast down-reg. genes,155,257,0.002030684590384845,0.0074458434980777645,17582,8,"{'CITED4', 'CTNNB1', 'TP53', 'TGIF1', 'EHMT2', 'KDM1A', 'PHC1', 'SMARCA4'}","['GTF2IRD1', 'RTEL1']"
