Cluster,List of physio aging genes,Nb genes cluster,Nb genes in physio aging list,p-value,Corrected p-value,Background,Nb genes intersection,Intersection,Seeds
cluster_4,GenAge,138,107,2.1376272350162513e-05,0.00011756949792589382,17582,7,"{'AKT1', 'NFKBIA', 'HSPA1A', 'TP53', 'IKBKB', 'HTT', 'FOXO3'}","['GHR', 'TERT', 'ATM', 'ERCC2', 'ERCC8', 'WRN', 'LMNA', 'INSR', 'PTEN', 'ERCC1', 'ELN', 'ATR', 'STUB1']"
cluster_4,Blood up-reg. genes,138,80,0.46837571862758653,0.6440166131129315,17582,1,{'FADD'},[]
cluster_4,Blood down-reg. genes,138,199,0.7934127465904693,0.8307591492569487,17582,1,{'RHPN2'},"['ATM', 'PYCR1']"
cluster_4,Skin up-reg. genes,138,1110,0.3732607010399318,0.6440166131129315,17582,10,"{'FKBP5', 'RAB8B', 'CASP10', 'TLR4', 'HSP90AA1', 'FOXO3', 'BCL2', 'CD14', 'CFLAR', 'IRAK3'}","['FBLN5', 'ELN', 'ZMPSTE24', 'ADAMTS2', 'GHR', 'EDN3', 'ALG8', 'ANTXR1', 'ENPP1', 'COL5A2']"
cluster_4,Skin down-reg. genes,138,754,0.3801453430149043,0.6440166131129315,17582,7,"{'IKBKE', 'LRSAM1', 'TAB1', 'IKBKB', 'NFKB2', 'NLRP1', 'TBC1D17'}",['GJB6']
cluster_4,Brain up-reg. genes,138,544,1.2803276144095646e-06,1.408360375850521e-05,17582,17,"{'TNFRSF1B', 'NFKBIA', 'CASP1', 'FKBP5', 'TNIP2', 'SFN', 'RELA', 'TLR4', 'MAP3K8', 'MYD88', 'BCL2L11', 'BCL2', 'SHMT1', 'CD14', 'LTBR', 'TNFRSF1A', 'MCL1'}","['RBBP8', 'SLC2A1', 'RAB27A', 'ANTXR1']"
cluster_4,Brain down-reg. genes,138,536,0.7963105942852226,0.8307591492569487,17582,3,"{'SARM1', 'BAD', 'HSPH1'}","['MYO5A', 'SMARCA2']"
cluster_4,Muscle up-reg. genes,138,305,0.4299941138186574,0.6440166131129315,17582,3,"{'CUL4A', 'CREBBP', 'FOXO3'}","['EIF4H', 'GHR', 'KRAS', 'PIK3R1']"
cluster_4,Muscle down-reg. genes,138,224,0.8307591492569487,0.8307591492569487,17582,1,{'TICAM2'},['MTX2']
cluster_4,Breast up-reg. genes,138,393,0.37198235262547924,0.6440166131129315,17582,4,"{'CFLAR', 'CASP10', 'IRAK3', 'TLR4'}","['KITLG', 'GHR', 'RAB3GAP1', 'MITF', 'MYO5A', 'MYO5A', 'ENPP1']"
cluster_4,Breast down-reg. genes,138,257,0.14394663484312994,0.5278043277581431,17582,4,"{'TP53', 'FADD', 'SHMT2', 'TRAF2'}","['GTF2IRD1', 'RTEL1']"
