Cluster,List of physio aging genes,Nb genes cluster,Nb genes in physio aging list,p-value,Corrected p-value,Background,Nb genes intersection,Intersection,Seeds
cluster_1,GenAge,232,107,3.1111878779623328e-15,3.422306665758566e-14,17582,18,"{'AKT1', 'ERCC8', 'ATM', 'POLA1', 'TERT', 'XRCC5', 'PTEN', 'BRCA1', 'TP53', 'RAD52', 'CDK7', 'ERCC1', 'ATR', 'ERCC2', 'WRN', 'CDKN1A', 'RAD51', 'LMNA'}","['GHR', 'TERT', 'ATM', 'ERCC2', 'ERCC8', 'WRN', 'LMNA', 'INSR', 'PTEN', 'ERCC1', 'ELN', 'ATR', 'STUB1']"
cluster_1,Blood up-reg. genes,232,80,0.6552935925653929,0.9991890563096508,17582,1,{'DDB2'},[]
cluster_1,Blood down-reg. genes,232,199,0.9299428332464634,0.9991890563096508,17582,1,{'ATM'},"['ATM', 'PYCR1']"
cluster_1,Skin up-reg. genes,232,1110,0.9991890563096508,0.9991890563096508,17582,5,"{'APOO', 'ZMPSTE24', 'TERF1', 'RAD51D', 'AR'}","['FBLN5', 'ELN', 'ZMPSTE24', 'ADAMTS2', 'GHR', 'EDN3', 'ALG8', 'ANTXR1', 'ENPP1', 'COL5A2']"
cluster_1,Skin down-reg. genes,232,754,0.6677796103600833,0.9991890563096508,17582,9,"{'DAXX', 'DVL2', 'LIG1', 'RAD9A', 'TDP1', 'POLE', 'DVL1', 'NEIL1', 'MCM7'}",['GJB6']
cluster_1,Brain up-reg. genes,232,544,0.848611726874487,0.9991890563096508,17582,5,"{'CDK2', 'HADHB', 'CDKN1A', 'DCLRE1C', 'RBBP8'}","['RBBP8', 'SLC2A1', 'RAB27A', 'ANTXR1']"
cluster_1,Brain down-reg. genes,232,536,0.277665923182951,0.7635812887531153,17582,9,"{'RAD51C', 'MCM4', 'RAD50', 'CTNNB1', 'DCP2', 'CCND2', 'TP53BP1', 'ATRX', 'USP12'}","['MYO5A', 'SMARCA2']"
cluster_1,Muscle up-reg. genes,232,305,0.37600715437900495,0.8272157396338109,17582,5,"{'USP1', 'CUL4A', 'SUMO2', 'CDKN1A', 'XRCC6'}","['EIF4H', 'GHR', 'KRAS', 'PIK3R1']"
cluster_1,Muscle down-reg. genes,232,224,0.17507348285193078,0.6419361037904129,17582,5,"{'CDK2', 'CHCHD10', 'SAMM50', 'MTX2', 'AR'}",['MTX2']
cluster_1,Breast up-reg. genes,232,393,0.8944045897130806,0.9991890563096508,17582,3,"{'MDM4', 'USP34', 'CCNH'}","['KITLG', 'GHR', 'RAB3GAP1', 'MITF', 'MYO5A', 'MYO5A', 'ENPP1']"
cluster_1,Breast down-reg. genes,232,257,0.054639164296027894,0.30051540362815343,17582,7,"{'POLD1', 'DVL2', 'RAD9A', 'CTNNB1', 'TP53', 'RTEL1', 'KDM1A'}","['GTF2IRD1', 'RTEL1']"
