Cluster,List of physio aging genes,Nb genes cluster,Nb genes in physio aging list,p-value,Corrected p-value,Background,Nb genes intersection,Intersection,Seeds
cluster_6,GenAge,150,107,0.6013089711098505,0.7207397898771176,17582,1,{'HTT'},"['GHR', 'TERT', 'ATM', 'ERCC2', 'ERCC8', 'WRN', 'LMNA', 'INSR', 'PTEN', 'ERCC1', 'ELN', 'ATR', 'STUB1']"
cluster_6,Blood up-reg. genes,150,80,1.0,1.0,17582,0,,[]
cluster_6,Blood down-reg. genes,150,199,0.24136815040023762,0.37929280777180197,17582,3,"{'PAWR', 'CHML', 'NT5E'}","['ATM', 'PYCR1']"
cluster_6,Skin up-reg. genes,150,1110,0.15311426177712023,0.3368513759096645,17582,13,"{'LONRF3', 'APH1B', 'PRKRA', 'ARHGDIG', 'RAB8B', 'PTP4A2', 'SALL1', 'RAB32', 'NT5E', 'PEX19', 'OSBPL1A', 'RABEP1', 'ABCD2'}","['FBLN5', 'ELN', 'ZMPSTE24', 'ADAMTS2', 'GHR', 'EDN3', 'ALG8', 'ANTXR1', 'ENPP1', 'COL5A2']"
cluster_6,Skin down-reg. genes,150,754,0.19561005310582005,0.35861843069400345,17582,9,"{'GGA1', 'SLC6A8', 'SIRT2', 'S1PR5', 'C19orf54', 'TMEM102', 'RAB38', 'PPFIA3', 'TBC1D17'}",['GJB6']
cluster_6,Brain up-reg. genes,150,544,0.09446282606645412,0.3368513759096645,17582,8,"{'SLC6A8', 'RAB34', 'RAB13', 'PAWR', 'TRIM4', 'USP3', 'RAB31', 'ZFP36'}","['RBBP8', 'SLC2A1', 'RAB27A', 'ANTXR1']"
cluster_6,Brain down-reg. genes,150,536,0.006305194459457583,0.06935713905403341,17582,11,"{'RAB1A', 'BACE1', 'PRKRA', 'VAMP2', 'RAB35', 'RAB14', 'TMEM9', 'CHM', 'RABEP1', 'ABCD2', 'OSBPL1A'}","['MYO5A', 'SMARCA2']"
cluster_6,Muscle up-reg. genes,150,305,0.12027409703646312,0.3368513759096645,17582,5,"{'PRKRA', 'DICER1', 'RAB10', 'CHM', 'ZFP36'}","['EIF4H', 'GHR', 'KRAS', 'PIK3R1']"
cluster_6,Muscle down-reg. genes,150,224,0.12517159645214262,0.3368513759096645,17582,4,"{'TMEM9', 'C19orf54', 'GGA3', 'EHD3'}",['MTX2']
cluster_6,Breast up-reg. genes,150,393,0.6552179907973796,0.7207397898771176,17582,3,"{'RAB3GAP1', 'RAB31', 'NT5E'}","['KITLG', 'GHR', 'RAB3GAP1', 'MITF', 'MYO5A', 'MYO5A', 'ENPP1']"
cluster_6,Breast down-reg. genes,150,257,0.3758793707245014,0.5168341347461894,17582,3,"{'TMEM102', 'MICALL1', 'PPFIA3'}","['GTF2IRD1', 'RTEL1']"
