Representing term id	Representing term name	Representing term rank	cluster_1 term id	cluster_1 term name	cluster_1 term rank	cluster_2 term id	cluster_2 term name	cluster_2 term rank	cluster_3 term id	cluster_3 term name	cluster_3 term rank	cluster_4 term id	cluster_4 term name	cluster_4 term rank	cluster_5 term id	cluster_5 term name	cluster_5 term rank	cluster_6 term id	cluster_6 term name	cluster_6 term rank
GO:0006259	DNA metabolic process	1
			GO:0006259	DNA metabolic process	1	GO:0006259	DNA metabolic process	42	GO:0006259	DNA metabolic process	284									
			GO:0006281	DNA repair	2	GO:0006281	DNA repair	128	GO:0006281	DNA repair	366									
			GO:0006302	double-strand break repair	5	GO:0006302	double-strand break repair	228	GO:0006302	double-strand break repair	1908									
			GO:0006310	DNA recombination	6	GO:0006310	DNA recombination	432												
			GO:0000723	telomere maintenance	7	GO:0000723	telomere maintenance	644												
			GO:0051052	regulation of DNA metabolic process	8	GO:0051052	regulation of DNA metabolic process	90	GO:0051052	regulation of DNA metabolic process	371	GO:0051052	regulation of DNA metabolic process	869						
			GO:0006260	DNA replication	12	GO:0006260	DNA replication	83	GO:0006260	DNA replication	1526									
			GO:0000725	recombinational repair	13	GO:0000725	recombinational repair	246												
			GO:0006261	DNA-templated DNA replication	14	GO:0006261	DNA-templated DNA replication	120	GO:0006261	DNA-templated DNA replication	1979									
			GO:0000724	double-strand break repair via homologous recombination	15	GO:0000724	double-strand break repair via homologous recombination	241												
			GO:0071897	DNA biosynthetic process	18	GO:0071897	DNA biosynthetic process	622	GO:0071897	DNA biosynthetic process	1484				GO:0071897	DNA biosynthetic process	1163			
			GO:0010833	telomere maintenance via telomere lengthening	23										GO:0010833	telomere maintenance via telomere lengthening	1541			
			GO:0051054	positive regulation of DNA metabolic process	26	GO:0051054	positive regulation of DNA metabolic process	232	GO:0051054	positive regulation of DNA metabolic process	686	GO:0051054	positive regulation of DNA metabolic process	847	GO:0051054	positive regulation of DNA metabolic process	1122			
			GO:0006289	nucleotide-excision repair	32	GO:0006289	nucleotide-excision repair	243	GO:0006289	nucleotide-excision repair	302									
			GO:0007004	telomere maintenance via telomerase	34										GO:0007004	telomere maintenance via telomerase	1316			
			GO:0006278	RNA-templated DNA biosynthetic process	35										GO:0006278	RNA-templated DNA biosynthetic process	1329			
			GO:0032204	regulation of telomere maintenance	36															
			GO:0051053	negative regulation of DNA metabolic process	37	GO:0051053	negative regulation of DNA metabolic process	750												
			GO:0016233	telomere capping	39															
			GO:0032205	negative regulation of telomere maintenance	46															
			GO:1904356	regulation of telomere maintenance via telomere lengthening	53															
			GO:0006303	double-strand break repair via nonhomologous end joining	55															
			GO:0006270	DNA replication initiation	94	GO:0006270	DNA replication initiation	61												
			GO:0006282	regulation of DNA repair	63	GO:0006282	regulation of DNA repair	295	GO:0006282	regulation of DNA repair	876									
			GO:0032206	positive regulation of telomere maintenance	65															
			GO:0032210	regulation of telomere maintenance via telomerase	66															
			GO:0006312	mitotic recombination	69															
			GO:0006284	base-excision repair	73															
			GO:2000278	regulation of DNA biosynthetic process	81	GO:2000278	regulation of DNA biosynthetic process	700	GO:2000278	regulation of DNA biosynthetic process	1665	GO:2000278	regulation of DNA biosynthetic process	981	GO:2000278	regulation of DNA biosynthetic process	808			
			GO:0022616	DNA strand elongation	85	GO:0022616	DNA strand elongation	389												
			GO:0033260	nuclear DNA replication	86	GO:0033260	nuclear DNA replication	302												
			GO:0045005	DNA-templated DNA replication maintenance of fidelity	87															
			GO:0000018	regulation of DNA recombination	88	GO:0000018	regulation of DNA recombination	511												
			GO:0044786	cell cycle DNA replication	89	GO:0044786	cell cycle DNA replication	319												
			GO:0035825	homologous recombination	90															
			GO:1904357	negative regulation of telomere maintenance via telomere lengthening	91															
			GO:0031297	replication fork processing	93															
			GO:0006275	regulation of DNA replication	142	GO:0006275	regulation of DNA replication	99												
			GO:0006271	DNA strand elongation involved in DNA replication	107	GO:0006271	DNA strand elongation involved in DNA replication	565												
			GO:0090737	telomere maintenance via telomere trimming	108															
			GO:0090656	t-circle formation	109															
			GO:0001325	formation of extrachromosomal circular DNA	110															
			GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	111															
			GO:0016444	somatic cell DNA recombination	112															
			GO:1904353	regulation of telomere capping	113															
			GO:0006298	mismatch repair	114															
			GO:0006266	DNA ligation	117															
			GO:0036297	interstrand cross-link repair	128															
			GO:0051972	regulation of telomerase activity	129	GO:0051972	regulation of telomerase activity	1062	GO:0051972	regulation of telomerase activity	1440	GO:0051972	regulation of telomerase activity	831	GO:0051972	regulation of telomerase activity	1016			
			GO:0016447	somatic recombination of immunoglobulin gene segments	130															
			GO:0000722	telomere maintenance via recombination	132															
			GO:0006287	base-excision repair, gap-filling	133															
			GO:0007131	reciprocal meiotic recombination	138															
			GO:0140527	reciprocal homologous recombination	139															
			GO:0000012	single strand break repair	140	GO:0000012	single strand break repair	871												
			GO:1904358	positive regulation of telomere maintenance via telomere lengthening	145															
